DateTime,AddedIPs,RemovedIPs
1595198925,188,156
1595200807,159,158
1595202731,188,157
1595204688,155,157
1595206572,137,129
1595208486,137,123
1595211375,180,164
1595214499,231,206
1595216408,145,120
1595218363,137,329
1595220250,150,456
1595222181,102,2589
1595224119,171,3849
1595226027,590,2618
1595227980,807,2996
1595229856,1258,514
1595231772,770,127
1595233718,171,127
1595236673,243,256
1595238486,234,157
1595240424,125,142
1595242331,188,150
1595244284,188,160
1595246166,413,152
1595248339,264,212
1595250496,208,402
1595252408,169,184
1595254365,232,744
1595256249,722,397
1595258201,117,437
1595260088,130,338
1595262007,176,167
1595263983,218,202
1595265851,173,162
1595267766,184,182
1595269714,208,165
1595272596,253,199
1595274492,156,138
1595276435,152,258
1595278328,159,214
1595280252,151,171
1595282193,181,189
1595284093,180,110
1595286054,141,268
1595287927,131,179
1595290096,145,212
1595292016,206,202
1595293983,165,148
1595295850,151,199
1595297775,152,303
1595299718,248,431
1595301606,120,175
1595303526,239,158
1595305480,441,190
1595307367,1010,131
1595309286,462,138
1595312174,278,553
1595314118,221,683
1595316008,282,1351
1595317928,135,1015
1595319880,152,161
1595321785,202,156
1595323818,128,184
1595325665,151,130
1595327531,144,231
1595329695,140,174
1595331608,153,233
1595333561,149,204
1595335449,125,204
1595337368,146,247
1595339316,869,221
1595341207,158,512
1595343133,140,389
1595345095,155,195
1595346966,134,170
1595348888,181,182
1595350858,187,219
1595352737,199,231
1595354898,245,213
1595356808,138,208
1595358768,157,160
1595360648,174,151
1595362568,178,189
1595364514,179,154
1595366432,136,175
1595368338,166,189
1595370255,151,164
1595372193,169,148
1595374354,196,162
1595376262,132,146
1595378170,168,207
1595380123,128,173
1595382034,157,179
1595383966,167,153
1595385885,149,241
1595387786,142,131
1595389703,168,137
1595392185,499,730
1595394972,221,1290
1595396920,181,197
1595398810,156,271
1595400728,224,261
1595402680,173,348
1595404573,153,155
1595406490,164,230
1595409370,226,248
1595411172,1184,151
1595413224,2148,180
1595415129,2505,140
1595417082,1934,100
1595418970,108,136
1595420884,158,116
1595422865,979,135
1595424735,801,408
1595426665,1090,172
1595428596,939,153
1595430532,786,145
1595432438,114,141
1595434344,106,143
1595436253,122,157
1595438205,133,173
1595440096,151,226
1595442040,138,186
1595443928,172,155
1595445884,151,152
1595447796,179,154
1595449693,225,167
1595452577,252,235
1595454528,116,156
1595456410,117,143
1595458349,838,146
1595460284,2045,136
1595462169,2583,154
1595464108,1585,159
1595466062,1789,116
1595467930,1316,122
1595469874,1405,150
1595471800,116,121
1595473698,94,132
1595475615,107,249
1595477585,122,129
1595479451,122,388
1595481617,119,160
1595483528,146,174
1595485500,872,179
1595487368,546,315
1595489289,613,210
1595491260,937,166
1595493209,777,184
1595495069,783,164
1595497001,847,253
1595498898,673,836
1595500820,777,1251
1595502783,698,1086
1595504653,862,404
1595506578,817,150
1595508523,1039,319
1595510411,1007,458
1595512343,959,1170
1595514286,939,682
1595516170,1057,678
1595518091,846,234
1595520087,1000,101
1595521932,883,103
1595523858,1031,112
1595525811,905,149
1595527703,790,122
1595529636,881,187
1595531560,799,136
1595533477,1099,154
1595535373,974,207
1595537323,1196,158
1595539217,868,163
1595541137,216,84
1595543082,207,104
1595544968,225,875
1595546893,183,1657
1595548861,209,1979
1595550729,194,1445
1595552897,216,1543
1595554815,183,1425
1595556776,199,902
1595558658,205,93
1595560816,192,116
1595562732,197,124
1595564680,182,139
1595566568,200,117
1595568502,187,112
1595570454,186,471
1595572406,228,1598
1595574267,381,1455
1595576199,242,1114
1595578096,295,1041
1595580014,245,1257
1595581965,217,984
1595583852,196,1203
1595585665,204,1007
1595587726,199,1295
1595589632,202,948
1595591539,195,1151
1595593493,629,1200
1595595370,193,1201
1595597285,177,1199
1595600179,252,1664
1595602121,248,1243
1595604023,189,1195
1595605931,157,1137
1595607911,200,1238
1595609777,199,1251
1595611705,191,1044
1595614808,346,1776
1595616733,240,1133
1595618680,230,1020
1595620566,226,1392
1595622488,302,1092
1595624449,222,1387
1595626326,179,585
1595628268,163,222
1595630196,207,193
1595632098,196,224
1595634012,194,201
1595635962,1364,216
1595637851,2877,170
1595639777,2903,165
1595641721,3790,164
1595643611,2949,179
1595645532,3214,174
1595647450,3255,135
1595649366,1570,154
1595651286,1047,150
1595653224,1107,171
1595655157,1253,155
1595657146,570,159
1595658999,157,160
1595660898,174,202
1595662809,156,211
1595664761,169,268
1595666650,130,176
1595668572,162,216
1595670518,183,236
1595672406,159,200
1595674328,210,176
1595676284,178,193
1595678168,156,147
1595680090,150,611
1595682986,251,212
1595684928,179,142
1595686809,822,154
1595688736,189,186
1595690651,177,146
1595692575,133,159
1595694520,119,149
1595696432,148,172
1595698364,108,190
1595700287,109,175
1595702204,232,187
1595704104,83,226
1595706014,109,172
1595707971,110,158
1595709853,127,155
1595711781,128,171
1595713728,341,167
1595715616,111,157
1595717534,142,199
1595719490,127,179
1595721369,130,368
1595723585,133,1448
1595725466,107,2875
1595727410,125,3218
1595729297,116,2986
1595731219,131,3110
1595733170,129,2740
1595735056,157,2713
1595736974,150,1665
1595738931,149,1744
1595740808,131,1628
1595742736,136,1659
1595744689,141,198
1595746579,958,639
1595748487,102,238
1595751621,234,341
1595753559,177,182
1595755493,186,394
1595757369,525,276
1595759299,139,256
1595762178,260,412
1595764127,162,255
1595766264,191,283
1595768170,169,236
1595770095,188,282
1595772982,952,363
1595774892,180,296
1595776847,174,288
1595778733,194,190
1595780652,180,150
1595782603,153,157
1595784487,172,138
1595787387,288,191
1595789297,167,127
1595791243,151,118
1595793135,188,150
1595795050,197,154
1595797009,187,148
1595798891,219,158
1595801773,277,246
1595803691,170,868
1595805610,249,157
1595807529,176,189
1595809454,153,195
1595811370,180,160
1595813288,117,157
1595816443,251,261
1595818333,144,179
1595820300,153,194
1595822172,838,218
1595824113,169,154
1595826996,232,201
1595828942,207,146
1595830810,163,132
1595832731,188,951
1595834684,215,113
1595836572,197,118
1595838487,177,158
1595840459,180,167
1595842333,162,464
1595844269,154,186
1595846199,182,153
1595848105,173,183
1595850041,210,413
1595851960,152,163
1595853883,181,166
1595855789,304,158
1595857694,203,174
1595859639,928,152
1595861535,389,175
1595863482,300,173
1595865373,259,182
1595867299,238,166
1595870202,470,241
1595872123,277,225
1595874029,302,175
1595875929,365,164
1595877883,347,167
1595879765,326,185
1595881930,387,196
1595884099,283,192
1595886013,389,232
1595887977,433,179
1595889855,368,356
1595891771,373,266
1595893727,228,173
1595895612,160,153
1595897531,145,187
1595899486,160,133
1595901373,148,293
1595903291,206,180
1595905257,183,149
1595907126,227,164
1595909300,204,442
1595911220,221,687
1595913166,207,171
1595915047,170,197
1595916978,176,196
1595918928,180,172
1595920811,182,193
1595922754,199,210
1595924687,202,195
1595926566,366,191
1595928741,185,190
1595930661,182,161
1595932607,229,183
1595934495,191,179
1595936420,175,213
