DateTime,AddedIPs,RemovedIPs
1593631211,11,0
1593635073,2,0
1593639859,1,1
1593641797,0,1
1593643692,14,2
1593651388,1,0
1593656189,1,0
1593662199,1,0
1593671801,13,0
1593685209,1,0
1593687157,0,1
1593692895,1,9
1593698693,0,1
1593704410,1,1
1593715932,0,12
1593721687,0,2
1593725527,0,1
1593729392,0,7
1593731302,0,7
1593735175,1,0
1593737048,0,1
1593740920,0,1
1593744733,1,0
1593748586,1,1
1593758168,0,13
1593760136,1,0
1593762015,2,0
1593767778,6,0
1593769698,8,0
1593771640,0,1
1593773608,27,0
1593779291,0,1
1593784097,1,0
1593789850,0,1
1593799578,3,0
1593807212,13,0
1593820573,1,0
1593822492,0,1
1593825401,1,0
1593829212,1,0
1593831157,0,1
1593834993,0,1
1593847486,0,2
1593849373,0,1
1593855375,0,14
1593859216,0,27
1593864981,4,0
1593870734,0,1
1593887533,0,3
1593893307,0,13
1593906734,0,1
1593912490,0,1
1593916332,0,1
1593918497,24,0
1593926174,1,0
1593928225,1,0
1593935768,1,0
1593951145,1,4
1593953079,3,0
1593954976,1,0
1593956893,2,0
1593958843,1,0
1593960731,2,0
1593964606,1,0
1593970357,11,0
1593972272,2,0
1593981880,1,0
1593998171,11,0
1594007773,1,0
1594012602,1,25
1594014497,0,1
1594016438,2,0
1594020251,2,0
1594022221,0,1
1594024086,5,0
1594026040,3,0
1594027966,9,0
1594033731,1,0
1594035614,2,0
1594037566,0,1
1594039452,0,3
1594041385,1,1
1594043322,0,2
1594045211,0,1
1594047135,0,2
1594050970,2,1
1594056997,0,13
1594068514,0,1
1594074281,1,0
1594078088,2,0
1594081007,2,0
1594082894,3,0
1594084810,2,11
1594086758,1,0
1594088677,1,0
1594090595,2,0
1594092488,0,1
1594098528,1,1
1594102330,1,1
1594104279,1,1
1594106172,0,2
1594108089,1,0
1594110075,0,5
1594111933,0,3
1594113849,0,7
1594115798,0,2
1594121533,0,2
1594123459,0,1
1594127375,0,1
1594134982,1,0
1594136894,0,2
1594140786,1,0
1594142659,2,0
1594149403,2,0
1594153765,1,0
1594156661,1,0
1594160437,0,1
1594162348,1,0
1594164272,0,2
1594166196,0,1
1594168130,0,2
1594171304,2,4
1594173482,0,2
1594175544,0,1
1594177716,1,1
1594179637,3,0
1594185370,0,1
1594189209,0,1
1594191168,0,1
1594195009,0,1
1594205532,1,0
1594211310,1,0
1594214191,1,0
1594219932,1,0
1594221881,0,1
1594223769,2,0
1594227757,2,2
1594229822,1,1
1594233872,1,1
1594235809,0,1
1594241562,2,2
1594243454,1,0
1594250172,0,1
1594252359,1,0
1594254278,1,0
1594258085,1,2
1594264128,0,1
1594266009,0,3
1594271809,1,0
1594273945,1,0
1594291486,0,1
1594297207,0,1
1594299131,0,1
1594304886,0,1
1594309692,0,2
1594313863,1,2
1594315716,0,1
1594318591,0,1
1594322419,1,0
1594324338,1,0
1594328187,1,2
1594330088,0,1
1594332082,1,0
1594333930,1,0
1594337805,1,0
1594339777,0,1
1594341644,0,1
1594345480,0,1
1594351211,3,0
1594358889,0,2
1594368981,1,0
1594370930,2,0
1594374770,4,0
1594378570,4,0
1594388416,3,0
1594390336,3,0
1594396337,1,0
1594400204,0,1
1594404049,1,0
1594405958,1,0
1594407867,1,1
1594411736,0,1
1594415559,1,1
1594417459,0,1
1594421295,1,1
1594425166,1,1
1594427054,2,0
1594429000,2,0
1594433774,2,0
1594437610,0,3
1594450344,3,0
1594452281,4,0
1594456328,0,2
1594458277,0,1
1594460197,2,3
1594462105,3,1
1594464013,3,1
1594465968,0,3
1594467854,1,0
1594469772,3,0
1594471725,3,0
1594475531,0,4
1594477487,1,2
1594484178,1,1
1594489940,0,1
1594491883,0,1
1594493773,0,1
1594495691,1,0
1594501478,1,0
1594503400,4,1
1594505292,1,0
1594507214,0,1
1594509162,1,0
1594512983,0,2
1594514932,0,3
1594520703,0,2
1594522575,2,0
1594526621,1,0
1594528608,1,0
1594532441,3,0
1594536269,0,2
1594538466,2,4
1594540333,0,1
1594542257,2,0
1594546092,1,2
1594548973,2,5
1594551134,0,1
1594553058,1,1
1594555068,0,2
1594556893,0,2
1594559770,0,2
1594563658,0,1
1594567486,1,0
1594571324,1,1
1594581157,0,1
1594588808,0,3
1594590736,0,3
1594594566,2,1
1594596843,1,0
1594598678,2,0
1594602601,3,0
1594604411,1,0
1594606332,1,0
1594610173,0,2
1594612088,2,0
1594614039,1,1
1594615931,0,1
1594617868,0,3
1594623680,2,2
1594625529,1,0
1594627502,1,1
1594629396,0,1
1594631319,0,1
1594633230,2,1
1594635161,2,1
1594637050,1,0
1594638976,0,1
1594650490,1,0
1594654370,0,1
1594658168,0,1
1594667771,2,0
1594675461,1,0
1594677371,2,0
1594681230,0,3
1594685085,0,2
1594686969,2,0
1594688924,0,3
1594690833,0,1
1594692772,1,1
1594696730,1,0
1594698762,0,3
1594706495,2,0
1594710523,0,2
1594712578,0,2
1594714575,2,0
1594720330,0,2
1594722415,0,2
1594724339,0,1
1594736176,0,1
1594754685,1,2
1594762440,0,2
1594764346,0,1
1594774124,0,2
1594779885,0,1
1594783687,0,1
1594792570,0,2
1594800383,0,1
1594802205,0,1
1594809855,1,0
1594828093,1,0
1594835874,56,0
