DateTime,Entries,UniqueIPs
1595206122,18635,18635
1595208012,18665,18665
1595209928,18726,18726
1595211882,18783,18783
1595213779,18798,18798
1595215688,18801,18801
1595217742,18816,18816
1595219798,18819,18819
1595221694,17039,17039
1595223608,12634,12634
1595225569,8917,8917
1595227457,5388,5388
1595229398,3936,3936
1595231290,3946,3946
1595233207,3960,3960
1595235163,3966,3966
1595237052,3965,3965
1595238999,4071,4071
1595240889,4055,4055
1595242859,4153,4153
1595244732,4167,4167
1595246899,4421,4421
1595248812,4437,4437
1595250766,4442,4442
1595252681,4261,4261
1595254574,4103,4103
1595256488,4016,4016
1595258409,3890,3890
1595260378,3847,3847
1595262271,3858,3858
1595264171,3862,3862
1595266129,3856,3856
1595268059,3843,3843
1595269930,3852,3852
1595271882,3855,3855
1595273768,3855,3855
1595275735,3839,3839
1595277608,3831,3831
1595279532,3832,3832
1595281478,3826,3826
1595283612,3842,3842
1595285531,3829,3829
1595287483,3821,3821
1595289367,3825,3825
1595291287,3827,3827
1595293381,3832,3832
1595295401,3821,3821
1595297298,3766,3766
1595299224,3747,3747
1595301159,3750,3750
1595303057,3856,3856
1595304977,3886,3886
1595306920,6504,6504
1595308814,7711,7711
1595310746,7703,7703
1595312701,7747,7747
1595314576,7747,7747
1595316489,7885,7885
1595318490,7879,7879
1595320330,7880,7880
1595322254,7879,7879
1595324218,7887,7887
1595326100,7804,7804
1595328012,7801,7801
1595329965,7797,7797
1595331850,7713,7713
1595333773,7708,7708
1595335714,7708,7708
1595337612,7583,7583
1595339529,8292,8292
1595341483,8280,8280
1595343369,8280,8280
1595345540,8202,8202
1595347471,8169,8169
1595349413,8142,8142
1595351296,8106,8106
1595353216,8037,8037
1595355159,8019,8019
1595357052,7994,7994
1595359008,7971,7971
1595360920,7953,7953
1595362810,7925,7925
1595364736,7904,7904
1595366656,7890,7890
1595368600,7878,7878
1595370487,7857,7857
1595373368,7834,7834
1595375293,7820,7820
1595377235,7793,7793
1595379130,7768,7768
1595381056,7762,7762
1595382995,7771,7771
1595385026,7776,7776
1595387788,7787,7787
1595389705,7795,7795
1595392187,6446,6446
1595394107,4252,4252
1595395934,3853,3853
1595398096,3829,3829
1595400013,3763,3763
1595401958,3553,3553
1595403851,3552,3552
1595405776,3560,3560
1595407719,3558,3558
1595409615,3564,3564
1595411532,5264,5264
1595413481,8480,8480
1595415376,11702,11702
1595417292,13876,13876
1595420412,13877,13877
1595422328,14676,14676
1595424303,15763,15763
1595426171,16657,16657
1595428107,17582,17582
1595430067,18635,18635
1595431935,18680,18680
1595433929,18684,18684
1595435774,18688,18688
1595437939,18688,18688
1595439881,18687,18687
1595441781,18688,18688
1595443693,18691,18691
1595445634,18694,18694
1595447528,18696,18696
1595449480,18707,18707
1595451367,18707,18707
1595453536,18704,18704
1595455500,18698,18698
1595457432,18695,18695
1595459300,18690,18690
1595461216,18694,18694
1595463169,18696,18696
1595465057,18699,18699
1595466974,18694,18694
1595468957,18698,18698
1595470814,18702,18702
1595472738,18700,18700
1595474684,18594,18594
1595476572,18595,18595
1595478486,18593,18593
1595481624,18594,18594
1595483531,18593,18593
1595485506,18600,18600
1595487371,18355,18355
1595489291,18296,18296
1595491309,18284,18284
1595493213,18283,18283
1595495106,18291,18291
1595497004,18148,18148
1595498900,15927,15927
1595500823,13700,13700
1595502788,11638,11638
1595504685,11159,11159
1595506582,11185,11185
1595508526,10112,10112
1595510415,8195,8195
1595512376,5834,5834
1595514289,4228,4228
1595516173,2534,2534
1595518094,2248,2248
1595521213,2244,2244
1595523131,2245,2245
1595525081,2265,2265
1595526967,2339,2339
1595528889,2346,2346
1595530977,2355,2355
1595533003,2375,2375
1595534889,2398,2398
1595536809,2421,2421
1595538758,2438,2438
1595540665,2458,2458
1595542816,2481,2481
1595544730,2547,2547
1595546693,2560,2560
1595548621,2577,2577
1595550488,2607,2607
1595553394,2614,2614
1595555324,2615,2615
1595557215,2606,2606
1595559133,2598,2598
1595561078,2596,2596
1595562966,2595,2595
1595564904,2591,2591
1595567786,2610,2610
1595569723,2614,2614
1595571687,2614,2614
1595573531,2042,2042
1595575544,2045,2045
1595577371,2043,2043
1595579287,2046,2046
1595581261,2053,2053
1595583125,2058,2058
1595585083,2061,2061
1595587001,2066,2066
1595588891,2058,2058
1595590816,2046,2046
1595592786,2051,2051
1595594650,2046,2046
1595596572,2044,2044
1595598522,2045,2045
1595600420,2049,2049
1595602333,2067,2067
1595604282,2069,2069
1595606170,2068,2068
1595608330,2060,2060
1595610275,2030,2030
1595612198,2018,2018
1595614103,1954,1954
1595616008,1950,1950
1595617957,1939,1939
1595619850,1929,1929
1595621780,1904,1904
1595623720,1880,1880
1595625609,1863,1863
1595627550,1857,1857
1595629479,1849,1849
1595631368,1777,1777
1595633286,1764,1764
1595636409,1712,1712
1595638330,3171,3171
1595640283,5254,5254
1595642169,7735,7735
1595644093,9668,9668
1595646186,11701,11701
1595648168,14155,14155
1595650088,16281,16281
1595652017,18304,18304
1595653931,20133,20133
1595655885,22485,22485
1595657770,22498,22498
1595659727,22485,22485
1595661610,22487,22487
1595663531,22491,22491
1595665491,22490,22490
1595667376,22486,22486
1595669287,22398,22398
1595672408,22334,22334
1595674331,22303,22303
1595676288,22276,22276
1595678170,22279,22279
1595680092,22287,22287
1595682076,22285,22285
1595683931,22289,22289
1595686098,22390,22390
1595688021,22988,22988
1595690209,22982,22982
1595692087,22982,22982
1595694018,22983,22983
1595695963,22984,22984
1595697852,22980,22980
1595699802,22973,22973
1595701691,23101,23101
1595703747,23098,23098
1595705849,23089,23089
1595707694,23082,23082
1595709610,23082,23082
1595711570,23082,23082
1595713450,23317,23317
1595715378,23312,23312
1595717323,23316,23316
1595719207,23316,23316
1595721143,23317,23317
1595723084,23310,23310
1595724970,21579,21579
1595726887,19560,19560
1595729783,16220,16220
1595731724,14052,14052
1595733626,12023,12023
1595735537,9510,9510
1595737487,7759,7759
1595739365,5699,5699
1595741293,3842,3842
1595743330,2746,2746
1595745406,3083,3083
1595747299,3077,3077
1595749213,3074,3074
1595751181,3062,3062
1595753050,3069,3069
1595754977,3067,3067
1595756929,3494,3494
1595758818,3476,3476
1595760731,3481,3481
1595762683,3486,3486
1595764577,3492,3492
1595766519,3509,3509
1595768522,3532,3532
1595770364,3601,3601
1595772549,4332,4332
1595774411,4347,4347
1595776332,4371,4371
1595778288,4391,4391
1595780174,4422,4422
1595782094,4457,4457
1595784042,4491,4491
1595785941,4533,4533
1595787885,4560,4560
1595789805,4597,4597
1595791685,4618,4618
1595793657,4650,4650
1595795566,4682,4682
1595797477,4716,4716
1595799373,4790,4790
1595801573,4828,4828
1595803481,4155,4155
1595805374,4195,4195
1595807329,4244,4244
1595809457,4292,4292
1595811373,4356,4356
1595813291,4380,4380
1595816449,4415,4415
1595818337,4445,4445
1595820304,4480,4480
1595822176,5207,5207
1595824116,5230,5230
1595826176,5275,5275
1595828224,5284,5284
1595830094,5310,5310
1595832012,4609,4609
1595833958,4515,4515
1595835852,4554,4554
1595837781,4588,4588
1595839720,4627,4627
1595841613,4657,4657
1595843529,4288,4288
1595845481,4330,4330
1595847369,4350,4350
1595849315,4372,4372
1595852174,4132,4132
1595854097,4121,4121
1595856044,4112,4112
1595857928,4107,4107
1595859856,4239,4239
1595861795,4240,4240
1595863687,4250,4250
1595866824,4240,4240
1595868733,4241,4241
1595870689,4274,4274
1595872575,4260,4260
1595874558,4261,4261
1595877609,4263,4263
1595879532,4272,4272
1595881531,4271,4271
1595883394,4271,4271
1595885286,4223,4223
1595887263,4538,4538
1595889142,4432,4432
1595891071,4514,4514
1595893000,4484,4484
1595894901,4454,4454
1595896806,4396,4396
1595898777,4368,4368
1595900649,4289,4289
1595902818,4208,4208
1595904781,4183,4183
1595906683,4154,4154
1595908569,4135,4135
1595910485,3301,3301
1595912504,3253,3253
1595914347,3228,3228
1595916261,3192,3192
1595918311,3152,3152
1595920362,3079,3079
1595922261,3047,3047
1595924174,3012,3012
1595926124,2971,2971
1595928012,2949,2949
1595929926,2933,2933
1595931884,2910,2910
1595933774,2877,2877
1595935687,2849,2849
1595937704,2827,2827
1595939526,2886,2886
1595941478,4512,4512
1595943408,6175,6175
1595945564,6601,6601
1595947474,7317,7317
1595949385,8776,8776
1595951331,10607,10607
1595953215,10856,10856
1595955139,10830,10830
1595957087,10780,10780
1595958970,10753,10753
1595960889,10756,10756
1595962942,10731,10731
1595964768,10639,10639
1595966682,10627,10627
1595968568,10601,10601
1595970740,10571,10571
1595972655,10275,10275
1595974573,10257,10257
1595976522,10227,10227
