DateTime,Entries,UniqueIPs
1595202251,18813,18813
1595204173,18834,18834
1595206125,18849,18849
1595208013,18878,18878
1595209929,18942,18942
1595211883,18997,18997
1595213780,19012,19012
1595215689,19015,19015
1595217755,19031,19031
1595219799,19035,19035
1595221695,17265,17265
1595223609,12876,12876
1595225569,9185,9185
1595227457,5667,5667
1595229398,4226,4226
1595231290,4231,4231
1595233208,4242,4242
1595235163,4252,4252
1595237052,4242,4242
1595238999,4345,4345
1595240889,4333,4333
1595243770,4431,4431
1595245725,4623,4623
1595247626,4719,4719
1595249533,4725,4725
1595251483,4732,4732
1595253371,4474,4474
1595255289,4347,4347
1595257257,4237,4237
1595259131,4112,4112
1595261083,4126,4126
1595262969,4133,4133
1595265144,4148,4148
1595267056,4107,4107
1595269036,4102,4102
1595270898,4115,4115
1595272816,4120,4120
1595274761,4108,4108
1595276658,4106,4106
1595278602,4109,4109
1595280491,4105,4105
1595283613,4123,4123
1595285532,4110,4110
1595287483,4091,4091
1595289368,4075,4075
1595291288,4073,4073
1595293429,4081,4081
1595295403,4071,4071
1595297299,4017,4017
1595299225,4000,4000
1595301161,3996,3996
1595303074,4102,4102
1595304978,4130,4130
1595306920,6722,6722
1595308816,7920,7920
1595310746,7911,7911
1595312702,7955,7955
1595314577,7953,7953
1595316489,8085,8085
1595319607,8082,8082
1595321530,8085,8085
1595323477,8086,8086
1595325435,8103,8103
1595327286,8008,8008
1595329353,8011,8011
1595331396,7919,7919
1595333291,7910,7910
1595335234,7905,7905
1595337160,7887,7887
1595339048,8490,8490
1595340970,8482,8482
1595342918,8482,8482
1595344807,8416,8416
1595346727,8381,8381
1595348675,8355,8355
1595350566,8325,8325
1595352487,8249,8249
1595354497,8235,8235
1595356331,8211,8211
1595358491,8188,8188
1595360409,8167,8167
1595362357,8144,8144
1595364252,8120,8120
1595366172,8099,8099
1595368090,8072,8072
1595370032,8048,8048
1595371933,8035,8035
1595373857,8025,8025
1595375796,8014,8014
1595377710,7985,7985
1595380585,7959,7959
1595382490,7967,7967
1595385026,7974,7974
1595387789,7996,7996
1595389706,8007,8007
1595392188,6674,6674
1595394122,4505,4505
1595395935,4109,4109
1595398098,4073,4073
1595400014,4016,4016
1595401958,3811,3811
1595403851,3806,3806
1595405776,3815,3815
1595407719,3809,3809
1595409617,3814,3814
1595411532,5511,5511
1595413482,8710,8710
1595415377,11914,11914
1595417293,14080,14080
1595420414,14082,14082
1595422329,14879,14879
1595424304,15961,15961
1595426197,16852,16852
1595428108,17779,17779
1595430081,18823,18823
1595431936,18867,18867
1595433936,18869,18869
1595435774,18875,18875
1595437940,18875,18875
1595439881,18870,18870
1595441784,18877,18877
1595443694,18882,18882
1595445634,18885,18885
1595447530,18891,18891
1595449481,18899,18899
1595451367,18899,18899
1595453537,18901,18901
1595455504,18891,18891
1595457434,18889,18889
1595459302,18887,18887
1595461217,18895,18895
1595463170,18997,18997
1595465058,18997,18997
1595466974,18995,18995
1595468958,18993,18993
1595470815,18997,18997
1595472739,19001,19001
1595474685,18902,18902
1595476573,18900,18900
1595478487,18893,18893
1595481625,18893,18893
1595483532,18895,18895
1595485508,18893,18893
1595487372,18646,18646
1595489292,18585,18585
1595492408,18576,18576
1595494360,18588,18588
1595496280,18599,18599
1595498169,17009,17009
1595500343,14738,14738
1595502283,12701,12701
1595504206,11487,11487
1595506113,11520,11520
1595508025,11191,11191
1595509963,9131,9131
1595511859,7016,7016
