DateTime,AddedIPs,RemovedIPs
1595203706,63,104
1595205621,81,70
1595207565,36,67
1595209454,57,53
1595211410,53,65
1595213368,52,64
1595215215,47,64
1595217133,72,64
1595219094,70,55
1595220977,43,53
1595222892,43,64
1595224975,82,112
1595226825,68,50
1595228687,68,60
1595230572,83,75
1595232498,38,52
1595234449,70,79
1595236345,59,59
1595238285,69,81
1595240174,45,71
1595242123,36,75
1595244016,86,73
1595245939,116,85
1595247888,149,81
1595249790,105,91
1595251718,83,88
1595253867,114,108
1595255671,82,48
1595257545,66,75
1595259376,57,101
1595261298,94,100
1595263256,125,107
1595265146,101,94
1595267088,114,82
1595269064,128,66
1595270910,93,55
1595272818,69,49
1595274763,79,55
1595276660,70,72
1595278613,72,61
1595280492,64,51
1595282509,70,69
1595284334,93,43
1595286230,53,114
1595288209,54,74
1595290100,58,62
1595292020,127,84
1595294004,81,40
1595295854,70,52
1595297803,78,52
1595299722,164,42
1595301611,55,52
1595303530,69,73
1595305485,71,77
1595307381,88,43
1595309291,133,41
1595311429,87,74
1595313401,129,76
1595315293,103,68
1595317235,60,79
1595319175,72,44
1595321050,66,65
1595323227,75,79
1595325445,57,65
1595327288,64,41
1595329442,55,49
1595331398,74,109
1595333306,64,103
1595335236,59,134
1595337162,66,95
1595339051,62,66
1595340972,82,112
1595342920,74,52
1595344810,67,41
1595346729,62,50
1595348677,83,86
1595350567,67,106
1595352489,85,75
1595355612,108,148
1595357532,77,73
1595359528,74,53
1595361371,60,68
1595363288,97,53
1595365428,91,60
1595367374,75,70
1595369332,80,65
1595371213,65,72
1595373133,80,57
1595375077,70,53
1595376972,62,74
1595378891,62,107
1595380836,83,81
1595382745,66,83
1595385040,88,118
1595386996,70,107
1595389035,73,62
1595391451,86,86
1595393323,73,76
1595395216,54,103
1595397135,88,110
1595399139,73,102
1595400976,76,102
1595402904,89,57
1595404986,59,97
1595407012,52,68
1595408893,68,77
1595410809,77,62
1595412764,60,68
1595414652,64,63
1595416576,61,45
1595418531,57,67
1595420420,72,58
1595423380,84,92
1595425216,64,60
1595427163,46,86
1595429057,49,71
1595431019,52,71
1595432892,35,66
1595434810,52,76
1595436766,45,65
1595438664,63,90
1595440611,63,88
1595442544,111,66
1595445387,124,113
1595447295,85,68
1595449222,152,94
1595451143,83,87
1595453096,40,72
1595454987,40,92
1595456930,56,72
1595458904,65,88
1595460730,43,68
1595462681,36,53
1595464600,47,80
1595466500,48,60
1595468430,41,80
1595470368,63,90
1595472260,41,77
1595474177,52,71
1595476136,66,84
1595478029,52,86
1595479931,64,78
1595481891,44,79
1595483771,32,107
1595485930,54,117
1595487909,37,104
1595489802,54,119
1595491708,39,95
1595493613,67,82
1595496503,89,185
1595498698,72,120
1595500600,83,101
1595502791,127,69
1595504688,72,58
1595506586,84,68
1595508530,110,60
1595510420,118,45
1595512380,100,63
1595514292,107,41
1595516178,93,47
1595518109,82,52
1595520224,115,50
1595522208,108,46
1595524102,134,56
1595526012,143,72
1595527961,155,70
1595529865,162,110
1595531777,130,76
1595533744,157,86
1595535610,143,159
1595537535,132,78
1595540413,226,63
1595542423,127,32
1595544254,125,43
1595546199,121,97
1595548124,115,44
1595550020,133,36
1595551931,132,57
1595553888,107,47
1595555786,132,51
1595557705,140,51
1595559846,135,67
1595561803,114,64
