DateTime,AddedIPs,RemovedIPs
1593951864,1,0
1593955692,0,2
1593961724,1,0
1593977054,1,0
1593983782,1,1
1593989539,1,0
1593993408,1,0
1593995293,3,1
1593997358,1,0
1593999158,1,0
1594004927,0,1
1594006813,1,0
1594009012,1,0
1594010896,0,1
1594012814,1,0
1594022575,0,1
1594028479,0,1
1594034183,0,1
1594038016,0,1
1594039936,1,0
1594047747,0,1
1594049821,1,0
1594063211,0,1
1594067077,1,0
1594070901,0,2
1594072941,1,0
1594074992,1,0
1594076896,0,1
1594080746,0,2
1594082653,0,1
1594084595,0,1
1594086500,0,1
1594094193,0,1
1594096106,1,1
1594098115,1,0
1594099957,0,1
1594101922,1,0
1594107652,1,0
1594113386,2,0
1594117240,1,0
1594122994,1,0
1594124896,0,1
1594127086,0,1
1594140792,0,1
1594144606,2,0
1594146507,1,0
1594156668,0,1
1594160444,1,1
1594162406,2,1
1594166213,1,0
1594175564,1,0
1594183734,1,0
1594185620,1,0
1594187533,0,1
1594189486,0,1
1594191403,1,0
1594193270,0,1
1594199328,0,2
1594201242,1,0
1594203134,0,1
1594205088,0,1
1594208919,0,1
1594210830,5,0
1594224499,1,0
1594230251,0,1
1594232172,0,1
1594234133,0,1
1594236112,1,0
1594239856,1,0
1594246581,0,1
1594248490,0,1
1594252387,0,2
1594264153,1,0
1594267937,0,1
1594269887,1,0
1594271815,0,1
1594277876,2,0
1594287626,1,0
1594289535,3,0
1594291492,0,1
1594293481,2,0
1594295439,1,0
1594297488,0,5
1594303406,0,1
1594305442,1,0
1594311159,0,1
1594318849,2,0
1594322681,0,1
1594326487,0,1
1594340918,1,0
1594342970,1,0
1594344972,1,1
1594360330,0,1
1594364192,0,1
1594366088,0,1
1594370198,1,0
1594372180,1,0
1594374051,1,1
1594375946,0,2
1594379801,0,3
1594381688,0,1
1594389424,1,0
1594393433,1,1
1594397337,1,0
1594403084,2,0
1594404977,1,1
1594406918,1,1
1594412665,1,0
1594426584,0,1
1594428496,1,0
1594430442,0,1
1594432333,1,0
1594434287,0,1
1594436203,1,0
1594440131,1,0
1594442195,1,0
1594446013,1,0
1594447961,2,0
1594455609,0,1
1594459482,0,1
1594461784,0,2
1594463802,1,0
1594471455,1,0
1594481084,0,1
1594482969,0,2
1594489003,1,2
1594490902,0,1
1594492844,0,1
1594498571,2,1
1594514207,2,1
1594519962,2,1
1594521856,0,1
1594525720,1,0
1594527614,0,1
1594533378,0,1
1594535320,1,2
1594540336,1,0
1594546097,2,0
1594548282,0,1
1594550184,0,1
1594552122,1,0
1594554012,1,0
1594557897,0,1
1594559777,1,0
1594573515,1,0
1594579223,0,1
1594584976,0,2
1594600576,0,1
1594604418,0,1
1594606337,0,1
1594612096,1,0
1594614045,1,0
1594617879,1,0
1594619818,1,0
1594623874,1,0
1594625809,0,2
1594627715,2,0
1594633458,0,1
1594641166,1,1
1594651046,0,1
1594654855,1,0
1594656741,1,0
1594658659,0,1
1594666336,1,0
1594672088,1,0
1594675004,1,0
1594678822,1,0
1594680767,1,0
1594684579,1,0
1594692779,1,0
1594694656,1,0
1594696736,1,0
1594698767,0,1
1594700675,0,1
1594702601,1,2
1594704515,1,0
1594706633,1,1
1594710527,0,1
1594714601,0,2
1594718420,1,0
1594722592,0,2
1594727592,1,1
1594736194,1,0
1594740016,0,1
1594743884,1,1
1594755614,0,1
1594757562,1,0
1594759537,0,1
1594761414,2,1
1594767206,0,1
1594769156,0,1
1594771231,0,1
1594775097,1,0
1594780818,1,2
1594784682,1,0
1594788532,0,1
1594792361,0,2
1594798581,1,0
1594802209,0,1
1594804103,1,0
1594806019,0,1
1594807995,0,1
1594809860,1,0
1594813733,0,1
1594821374,1,1
1594836769,2,0
1594838656,1,0
1594840589,1,0
1594844432,0,1
1594848311,0,1
1594858162,1,0
1594861963,0,1
1594863863,2,0
1594865783,1,0
1594867700,0,1
1594873461,1,0
1594879485,1,0
1594889058,1,0
1594890975,0,1
