DateTime,AddedIPs,RemovedIPs
1593178943,1,0
1593190586,1,1
1593208144,0,1
1593210074,0,1
1593211952,0,1
1593217698,2,0
1593219799,0,1
1593221792,0,1
1593225618,2,0
1593227553,1,0
1593231623,0,1
1593237373,0,1
1593241415,0,1
1593251057,0,1
1593253009,0,1
1593263056,0,1
1593266901,0,1
1593270730,1,0
1593276503,1,1
1593280351,1,0
1593290897,1,0
1593296657,1,0
1593303659,0,2
1593311295,0,1
1593313323,0,2
1593322811,1,0
1593326654,1,0
1593351899,1,0
1593355974,1,1
1593361701,1,0
1593363896,0,1
1593367727,0,1
1593371553,1,0
1593377319,0,1
1593379212,2,0
1593383081,0,1
1593394815,2,0
1593398683,2,0
1593408305,0,1
1593412099,1,1
1593427936,1,0
1593433736,1,0
1593437791,0,1
1593441620,0,1
1593449314,0,1
1593458911,0,1
1593463934,0,1
1593465881,0,1
1593469705,1,0
1593477622,1,0
1593481469,0,2
1593483378,0,1
1593485322,0,1
1593491074,1,0
1593497122,0,1
1593514344,1,1
1593520094,0,1
1593531864,2,0
1593533806,1,0
1593537642,1,0
1593553210,1,0
1593555363,0,1
1593565000,0,1
1593569785,1,0
1593575612,1,0
1593577483,0,1
1593581314,1,0
1593589254,2,0
1593591293,1,0
1593601129,0,1
1593614666,1,0
1593618534,1,2
1593620428,0,1
1593624340,0,1
1593638178,1,0
1593640115,0,1
1593647803,1,0
1593655744,0,1
1593661474,0,1
1593667454,0,1
1593675152,0,2
1593679016,0,1
1593685003,1,0
1593686895,1,0
1593688831,1,0
1593701292,0,1
1593705134,1,1
1593719053,1,0
1593720987,2,0
1593724827,0,1
1593732499,1,0
1593734612,2,1
1593736597,1,0
1593742359,1,0
1593765610,1,0
1593769486,0,1
1593773296,0,1
1593775242,0,1
1593785093,1,0
1593791802,1,1
1593795786,1,0
1593805303,0,1
1593807216,0,2
1593820577,0,3
1593822522,1,1
1593829217,0,1
1593833082,1,0
1593852254,0,1
1593868617,1,0
1593872445,0,1
1593876285,2,0
1593878185,0,1
1593882261,0,1
1593901489,1,0
1593909400,0,1
1593911308,1,0
1593915164,1,0
1593917078,1,0
1593919006,0,1
1593924752,1,0
1593934600,3,0
1593951865,1,0
1593953808,0,1
1593961776,0,1
1593969420,1,0
1593987628,0,1
1593993409,1,0
1593997375,0,1
1594001303,0,1
1594005209,0,1
1594010896,0,1
1594018612,1,0
1594020490,0,3
1594026535,1,0
1594036126,1,0
1594038016,0,1
1594056490,1,1
1594079565,1,0
1594081524,0,1
1594083373,1,0
1594087349,1,0
1594096812,1,0
1594105040,0,1
1594114570,0,1
1594122551,0,1
1594124416,1,0
1594128259,1,0
1594138072,1,0
1594143883,0,1
1594163533,1,0
1594165597,1,1
1594169671,0,1
1594174006,1,1
1594181688,2,0
1594183735,0,1
1594201243,2,0
1594210832,0,1
1594214686,1,1
1594220587,1,0
1594224500,0,1
1594230252,1,0
1594234135,1,0
1594237970,1,0
1594239856,1,0
1594250444,0,1
1594252388,0,1
1594260179,1,1
1594266014,1,0
1594267938,0,2
1594287628,0,2
1594299406,1,0
1594301290,0,1
1594307368,0,1
1594311160,1,0
1594313059,1,0
1594315018,0,1
1594320733,0,1
1594324605,1,2
1594326489,1,0
1594328475,1,0
1594333212,1,0
1594337086,1,0
1594346921,0,1
1594352681,0,1
1594356526,1,0
1594358437,1,0
1594366091,1,0
1594372192,1,0
1594379802,1,0
1594385585,1,0
1594387457,1,1
1594393459,1,0
1594397339,0,1
1594399237,0,1
1594410742,0,1
1594412667,0,1
1594416493,0,1
1594420572,1,1
1594422500,1,1
1594424443,1,0
1594442196,0,1
1594444102,0,1
1594451696,0,1
1594457598,0,1
1594463803,1,0
1594465692,0,1
1594467609,1,0
1594471456,1,1
1594473377,0,1
1594481085,0,1
1594482970,1,0
1594489007,2,0
1594494763,1,0
1594506287,0,1
1594508178,0,1
1594510095,0,1
1594525721,1,0
1594535322,1,0
1594541052,1,0
1594550682,0,1
1594552578,0,1
1594558389,0,1
1594566136,1,0
1594567937,1,0
1594569885,0,1
1594575859,0,2
1594581613,0,1
1594608319,1,0
1594612097,0,1
1594621701,0,1
1594627715,0,1
1594651047,0,1
1594652911,1,0
1594654856,1,1
1594658659,1,0
1594662495,2,0
1594694657,0,1
1594714602,1,0
1594718421,1,0
1594730415,3,0
1594734693,1,0
1594738570,0,1
1594740516,1,0
1594742572,0,1
1594744606,0,1
1594748413,0,2
1594758011,1,0
1594759938,1,0
1594779376,1,0
1594801226,0,1
1594805132,0,1
1594806991,1,0
1594816831,0,3
1594818766,1,0
1594820667,0,1
1594826677,0,1
1594828645,2,0
1594843395,0,1
1594845402,1,1
1594849211,1,0
1594866039,1,1
1594892198,0,1
1594894094,0,1
1594899867,1,0
1594901809,1,0
1594903702,1,0
1594905944,0,1
1594909670,1,0
1594913624,1,1
1594915626,1,1
1594921480,1,0
1594933473,0,1
1594935400,0,1
1594939217,1,0
1594948843,1,0
1594950733,0,1
1594954598,1,0
1594981894,1,0
1594987699,0,2
1594989614,0,1
1594995371,0,1
1594999252,0,1
1595001139,0,1
1595006893,0,1
1595009033,1,0
1595025667,0,1
1595031407,1,0
1595035214,0,1
1595039086,1,0
1595041036,0,1
1595048691,1,0
1595050617,1,0
1595062227,1,0
1595068340,0,1
1595076019,1,0
1595091384,1,0
1595095459,0,1
1595101457,1,0
1595111061,1,0
1595114921,1,0
1595117808,0,1
1595123575,1,0
1595125474,0,1
1595127446,1,0
1595135321,0,1
1595137211,0,1
1595146814,0,1
1595162199,0,1
1595168043,1,0
1595171946,1,0
1595175884,1,0
1595177801,1,1
1595181846,1,0
1595187868,1,1
1595197498,0,1
1595201539,1,1
1595205625,1,0
1595209457,1,0
1595211413,0,1
1595213370,0,1
1595227253,1,0
1595229144,1,0
1595244488,1,0
1595254371,0,1
1595258226,1,1
1595262018,0,1
1595263987,0,1
1595267772,0,1
1595272602,1,0
1595274496,0,1
1595280284,1,0
1595282225,2,0
1595288211,0,1
1595292022,0,1
1595295855,1,1
1595305486,2,0
1595311491,1,0
1595313403,1,1
1595317237,1,1
1595323255,1,0
1595329454,0,1
1595344837,0,1
1595356603,0,1
1595368097,0,2
1595370041,0,1
1595373861,1,0
1595375800,1,0
1595377723,1,0
