DateTime,AddedIPs,RemovedIPs
1595211413,21,34
1595213371,22,36
1595215218,16,25
1595217138,17,34
1595219100,11,28
1595220980,17,39
1595222899,24,44
1595225050,16,45
1595227253,25,43
1595229144,28,46
1595231052,16,45
1595233006,14,30
1595234916,20,51
1595236870,29,45
1595238729,27,30
1595240684,18,42
1595242572,20,44
1595244489,58,60
1595246641,68,64
1595248603,108,63
1595250502,75,59
1595252421,44,59
1595254371,72,45
1595256257,45,40
1595258228,27,62
1595260122,54,74
1595262021,59,81
1595263987,75,67
1595265880,73,26
1595267772,55,29
1595269722,71,38
1595272602,60,28
1595274497,41,35
1595276471,32,28
1595278334,34,27
1595280284,30,25
1595282225,38,36
1595284098,39,20
1595286233,29,37
1595288213,35,33
1595290103,29,37
1595292024,68,34
1595294006,36,23
1595295856,32,27
1595297826,32,25
1595299726,73,15
1595301612,19,20
1595303532,43,18
1595305486,44,12
1595307385,64,17
1595309295,76,21
1595311493,35,15
1595313403,59,22
1595315297,58,27
1595317237,48,24
1595319177,43,13
1595321052,41,14
1595323255,43,35
1595325447,24,28
1595327292,33,15
1595329454,28,23
1595331400,47,73
1595333308,24,64
1595335238,35,88
1595337164,39,74
1595339056,38,32
1595340974,34,59
1595342926,40,24
1595344838,40,17
1595346731,35,24
1595348681,48,37
1595350569,53,44
1595352491,37,50
1595354597,37,34
1595356604,45,42
1595358496,36,20
1595360414,32,26
1595362363,33,30
1595364261,51,17
1595366182,26,27
1595368097,55,26
1595370041,51,32
1595371939,39,25
1595373861,41,29
1595375800,30,36
1595377723,35,48
1595380589,49,59
1595382495,40,28
1595385042,54,36
1595387045,37,60
1595389041,34,30
1595391455,45,50
1595393325,47,55
1595395221,29,63
1595397145,40,40
1595399142,48,39
1595400982,53,50
1595402907,40,35
1595404995,24,76
1595407015,36,43
1595408896,31,47
1595410813,22,36
1595412770,28,33
1595414655,18,26
1595416581,18,25
1595418534,21,39
1595420423,18,21
1595422373,31,33
1595424361,31,44
1595426208,23,25
1595428114,23,45
1595430215,27,39
1595432175,27,42
1595434350,27,46
1595436259,27,45
1595438215,21,49
1595440116,20,37
1595442045,12,36
1595443935,23,49
1595445893,35,37
1595447802,37,41
1595449704,27,39
1595452610,45,56
