DateTime,Entries,UniqueIPs
1595211413,2060,2060
1595213371,2046,2046
1595215218,2037,2037
1595217138,2020,2020
1595219100,2003,2003
1595220980,1981,1981
1595222899,1961,1961
1595225050,1932,1932
1595227253,1914,1914
1595229144,1896,1896
1595231052,1867,1867
1595233006,1851,1851
1595234916,1820,1820
1595236870,1804,1804
1595238729,1801,1801
1595240684,1777,1777
1595242572,1753,1753
1595244489,1751,1751
1595246641,1755,1755
1595248603,1800,1800
1595250502,1816,1816
1595252421,1801,1801
1595254371,1828,1828
1595256257,1833,1833
1595258228,1798,1798
1595260122,1778,1778
1595262021,1756,1756
1595263987,1764,1764
1595265880,1811,1811
1595267772,1837,1837
1595269722,1870,1870
1595272602,1902,1902
1595274497,1908,1908
1595276471,1912,1912
1595278334,1919,1919
1595280284,1924,1924
1595282225,1926,1926
1595284098,1945,1945
1595286233,1937,1937
1595288213,1939,1939
1595290103,1931,1931
1595292024,1965,1965
1595294006,1978,1978
1595295856,1983,1983
1595297826,1990,1990
1595299726,2048,2048
1595301612,2047,2047
1595303532,2072,2072
1595305486,2104,2104
1595307385,2151,2151
1595309295,2206,2206
1595311493,2226,2226
1595313403,2263,2263
1595315297,2294,2294
1595317237,2318,2318
1595319177,2348,2348
1595321052,2375,2375
1595323255,2383,2383
1595325447,2379,2379
1595327292,2397,2397
1595329454,2402,2402
1595331400,2376,2376
1595333308,2336,2336
1595335238,2283,2283
1595337164,2248,2248
1595339056,2254,2254
1595340974,2229,2229
1595342926,2245,2245
1595344838,2268,2268
1595346731,2279,2279
1595348681,2290,2290
1595350569,2299,2299
1595352491,2286,2286
1595354597,2289,2289
1595356604,2292,2292
1595358496,2308,2308
1595360414,2314,2314
1595362363,2317,2317
1595364261,2351,2351
1595366182,2350,2350
1595368097,2379,2379
1595370041,2398,2398
1595371939,2412,2412
1595373861,2424,2424
1595375800,2418,2418
1595377723,2405,2405
1595380589,2395,2395
1595382495,2407,2407
1595385042,2425,2425
1595387045,2402,2402
1595389041,2406,2406
1595391455,2401,2401
1595393325,2393,2393
1595395221,2359,2359
1595397145,2359,2359
1595399142,2368,2368
1595400982,2371,2371
1595402907,2376,2376
1595404995,2324,2324
1595407015,2317,2317
1595408896,2301,2301
1595410813,2287,2287
1595412770,2282,2282
1595414655,2274,2274
1595416581,2267,2267
1595418534,2249,2249
1595420423,2246,2246
1595422373,2244,2244
1595424361,2231,2231
1595426208,2229,2229
1595428114,2207,2207
1595430215,2195,2195
1595432175,2180,2180
1595434350,2161,2161
1595436259,2143,2143
1595438215,2115,2115
1595440116,2098,2098
1595442045,2074,2074
1595443935,2048,2048
1595445893,2046,2046
1595447802,2042,2042
1595449704,2030,2030
1595452610,2019,2019
1595454534,1973,1973
1595456416,1937,1937
1595458357,1910,1910
1595460291,1901,1901
1595462179,1873,1873
1595464120,1846,1846
1595466259,1822,1822
1595468204,1798,1798
1595470372,1751,1751
1595472262,1733,1733
1595474179,1728,1728
1595476138,1700,1700
1595478034,1664,1664
1595479936,1648,1648
1595481895,1610,1610
1595483776,1565,1565
1595485933,1494,1494
1595487915,1433,1433
1595489804,1383,1383
1595491711,1331,1331
1595493617,1287,1287
1595495635,1254,1254
1595497457,1219,1219
1595499376,1189,1189
1595501361,1212,1212
1595503227,1261,1261
1595505140,1298,1298
1595507083,1337,1337
1595508974,1400,1400
1595510902,1462,1462
1595514019,1546,1546
1595515933,1612,1612
1595517906,1650,1650
1595519768,1703,1703
1595521939,1762,1762
1595523919,1853,1853
1595525819,1928,1928
1595527708,2044,2044
1595529665,2160,2160
1595531565,2251,2251
1595533486,2325,2325
1595535396,2413,2413
1595537329,2501,2501
1595539225,2602,2602
1595541167,2703,2703
1595543089,2770,2770
1595544975,2854,2854
1595546899,2912,2912
1595549781,3055,3055
1595551729,3141,3141
1595553614,3207,3207
1595555790,3307,3307
1595557708,3407,3407
1595559941,3492,3492
1595561806,3553,3553
1595563978,3640,3640
1595565859,3717,3717
1595567794,3803,3803
1595569733,3893,3893
1595571696,4006,4006
1595573552,4109,4109
1595575564,4219,4219
1595577386,4336,4336
1595579294,4455,4455
1595581470,4562,4562
1595583417,4642,4642
1595585297,4708,4708
1595587217,4752,4752
1595589164,4770,4770
1595591056,4832,4832
1595593001,4892,4892
1595594928,4976,4976
1595596814,5004,5004
1595598743,5077,5077
1595600698,5127,5127
1595602573,5198,5198
1595604494,5263,5263
1595606619,5289,5289
1595608601,5329,5329
1595610491,5357,5357
1595612415,5386,5386
1595614363,5438,5438
1595616258,5442,5442
1595618199,5497,5497
1595620126,5517,5517
1595622012,5503,5503
1595623934,5516,5516
1595625888,5526,5526
1595627774,5521,5521
1595629691,5548,5548
1595632811,5589,5589
1595634735,5594,5594
1595636683,5614,5614
1595638574,5649,5649
1595640488,5678,5678
1595642617,5705,5705
1595644604,5732,5732
1595646511,5749,5749
1595648447,5775,5775
1595650352,5785,5785
1595652283,5779,5779
1595654182,5790,5790
