DateTime,AddedIPs,RemovedIPs
1595209460,4,3
1595211415,5,8
1595213373,6,3
1595215220,5,6
1595217140,5,6
1595219107,14,1
1595220982,9,6
1595222901,10,5
1595225053,19,2
1595227255,10,4
1595229145,4,5
1595231053,4,5
1595233007,6,3
1595234916,13,6
1595236871,5,8
1595238730,4,7
1595240685,10,7
1595242573,4,4
1595244489,5,2
1595246660,5,10
1595248604,12,8
1595250503,3,6
1595252422,8,8
1595254372,3,6
1595256259,6,6
1595258230,5,4
1595260123,2,6
1595262032,10,11
1595263988,4,12
1595265881,8,19
1595267773,15,6
1595269724,8,3
1595272604,8,8
1595274499,6,3
1595276474,7,3
1595278336,5,9
1595280285,9,8
1595282226,6,5
1595284098,6,4
1595286233,4,8
1595288214,6,4
1595290104,5,6
1595292026,7,6
1595294006,7,4
1595295856,13,4
1595297838,9,6
1595299727,15,5
1595301613,12,5
1595303532,12,8
1595305487,10,16
1595307386,9,9
1595309296,16,8
1595311496,18,17
1595313404,11,10
1595315299,5,6
1595317238,3,5
1595319178,5,6
1595321053,8,10
1595323256,16,8
1595325449,5,6
1595327293,3,11
1595329456,3,4
1595331402,5,5
1595333310,2,6
1595335239,2,8
1595337166,5,3
1595339057,3,7
1595340975,4,4
1595342928,5,10
1595344839,6,4
1595346733,4,6
1595348682,4,8
1595350570,3,3
1595352491,9,7
1595354608,2,20
1595356604,6,6
1595358497,8,4
1595360414,6,7
1595362364,6,7
1595364262,6,5
1595366183,4,7
1595368098,4,7
1595370042,4,4
1595371940,9,5
1595373862,11,4
1595375801,3,8
1595377724,8,7
1595379675,8,6
1595381556,6,12
1595383769,7,8
1595385636,7,10
1595387558,5,13
1595389454,6,13
1595391457,5,11
1595393355,4,11
1595395224,5,15
1595397147,4,19
1595399143,5,6
1595400983,5,9
1595402908,8,6
1595404996,10,6
1595407017,6,4
1595408897,5,13
1595410814,10,10
1595412771,5,4
1595414656,12,2
1595416583,4,3
1595418535,7,7
1595420424,8,3
1595422374,4,3
1595424362,6,4
1595426209,4,3
1595428114,4,4
1595430216,5,4
1595432176,4,5
1595434351,5,4
1595436260,5,2
1595438216,5,12
1595440117,5,2
1595442047,7,3
1595443937,10,12
1595445894,6,4
1595447802,5,5
1595449704,6,6
1595452808,9,9
1595454729,4,3
1595456682,9,5
1595458584,3,9
1595460732,9,7
1595463614,14,13
1595465534,5,6
1595467486,4,8
1595469373,6,5
