DateTime,AddedIPs,RemovedIPs
1595211166,64,36
1595213059,77,53
1595215015,81,53
1595216923,65,57
1595218811,69,462
1595220738,55,690
1595222704,63,672
1595224591,81,707
1595226828,86,417
1595228689,53,67
1595230574,74,75
1595232500,58,49
1595234451,101,50
1595236347,78,65
1595238287,68,86
1595240181,66,63
1595242126,94,59
1595244019,62,62
1595245941,79,62
1595247909,76,94
1595249796,67,285
1595251721,73,81
1595253891,65,194
1595256057,665,279
1595257946,51,219
1595259870,53,181
1595261804,57,50
1595263692,59,56
1595265612,69,66
1595267565,56,113
1595269459,56,78
1595271384,76,81
1595273322,63,69
1595275460,60,78
1595277374,60,201
1595279347,62,148
1595281214,74,86
1595283174,96,82
1595285063,88,79
1595286979,86,100
1595288924,71,104
1595290835,68,124
1595292734,57,99
1595294685,73,116
1595296579,53,183
1595298522,67,333
1595300611,72,369
1595302600,69,92
1595304505,47,73
1595306457,64,74
1595308373,47,74
1595310259,69,102
1595312189,68,85
1595314135,67,90
1595316017,59,91
1595317936,56,72
1595319890,66,90
1595321802,120,98
1595323836,58,84
1595325900,60,90
1595327803,67,91
1595329700,56,91
1595331614,65,88
1595333566,74,83
1595335455,55,70
1595337376,48,60
1595339322,58,73
1595341213,46,440
1595343140,54,392
1595345124,64,79
1595346974,72,71
1595348893,98,64
1595350980,107,83
1595352999,97,89
1595354900,156,67
1595356812,67,70
1595358773,80,73
1595360653,95,79
1595362576,85,67
1595364524,72,85
1595366438,66,87
1595368346,65,78
1595370260,73,63
1595372202,85,78
1595374360,93,97
1595376271,63,81
1595378176,70,76
1595380126,68,75
1595382039,91,88
1595384007,66,83
1595385928,75,82
1595387792,69,73
1595389709,87,72
1595392191,435,89
1595394228,75,69
1595396197,91,78
1595398109,60,71
1595400016,67,80
1595401961,61,78
1595403855,79,56
1595405780,68,66
1595407723,67,151
1595409622,71,61
1595411535,74,73
1595413486,66,88
1595415382,94,50
1595417296,69,50
1595419411,60,57
1595421398,69,73
1595423382,58,67
1595425219,62,64
1595427164,66,69
1595429059,49,73
1595431020,54,72
1595432894,56,58
1595434812,57,78
1595436768,55,85
1595438667,58,78
1595440614,61,212
1595442559,60,64
1595445401,75,122
1595447296,84,77
1595449223,61,76
1595451155,62,78
1595453109,96,76
1595454989,65,67
1595456932,80,73
1595458942,1772,64
1595461002,3861,62
1595462892,2775,56
1595464813,2458,49
1595466762,2271,48
1595468653,2234,49
1595470608,923,36
1595472526,36,40
1595474414,33,48
1595476331,47,39
1595478286,47,45
1595480177,39,309
1595482096,39,51
1595484141,330,56
1595486201,917,49
1595488092,464,34
1595490049,841,41
1595491981,764,58
1595493855,872,44
1595496021,791,52
1595497932,816,60
1595499895,736,51
1595501772,730,47
1595503699,646,56
1595506591,1133,75
1595508535,951,42
1595510424,863,48
1595512385,906,56
1595514296,806,48
1595516182,944,32
1595518115,761,44
1595520316,869,52
1595522213,911,48
1595524108,797,45
1595526016,794,57
1595527965,508,52
1595529870,685,50
1595531780,618,53
1595533749,991,51
1595535618,810,34
1595537539,960,48
1595539546,614,54
1595541438,58,23
1595543306,33,46
1595545521,39,864
1595547403,42,2036
1595549296,43,1500
1595551216,38,1506
1595553173,44,1449
1595555054,43,1327
1595556977,44,617
1595558925,71,36
1595560828,49,28
1595562742,44,52
1595564691,49,39
1595566579,38,43
1595568536,40,50
1595570631,46,411
1595572634,52,1318
1595574770,54,995
1595576653,46,1136
1595578594,164,953
1595580524,54,1159
1595582420,42,900
1595584335,59,1106
1595586285,49,1037
1595588171,56,1049
1595590088,71,913
1595592187,46,1123
1595594198,50,1209
1595596104,52,954
1595598016,47,1302
1595599961,46,935
1595601854,48,1150
1595604037,65,1311
1595605946,54,1060
1595607943,94,1154
1595609784,54,1108
1595611710,58,914
1595613824,60,1004
1595615800,75,962
1595617705,73,922
1595619631,101,1131
