DateTime,Entries,UniqueIPs
1595211166,16813,16813
1595213059,16837,16837
1595215015,16865,16865
1595216923,16873,16873
1595218811,16480,16480
1595220738,15845,15845
1595222704,15236,15236
1595224591,14610,14610
1595226828,14279,14279
1595228689,14265,14265
1595230574,14264,14264
1595232500,14273,14273
1595234451,14324,14324
1595236347,14337,14337
1595238287,14319,14319
1595240181,14322,14322
1595242126,14357,14357
1595244019,14357,14357
1595245941,14374,14374
1595247909,14356,14356
1595249796,14138,14138
1595251721,14130,14130
1595253891,14001,14001
1595256057,14387,14387
1595257946,14219,14219
1595259870,14091,14091
1595261804,14098,14098
1595263692,14101,14101
1595265612,14104,14104
1595267565,14047,14047
1595269459,14025,14025
1595271384,14020,14020
1595273322,14014,14014
1595275460,13996,13996
1595277374,13855,13855
1595279347,13769,13769
1595281214,13757,13757
1595283174,13771,13771
1595285063,13780,13780
1595286979,13766,13766
1595288924,13733,13733
1595290835,13677,13677
1595292734,13635,13635
1595294685,13592,13592
1595296579,13462,13462
1595298522,13196,13196
1595300611,12899,12899
1595302600,12876,12876
1595304505,12850,12850
1595306457,12840,12840
1595308373,12813,12813
1595310259,12780,12780
1595312189,12763,12763
1595314135,12740,12740
1595316017,12708,12708
1595317936,12692,12692
1595319890,12668,12668
1595321802,12690,12690
1595323836,12664,12664
1595325900,12634,12634
1595327803,12610,12610
1595329700,12575,12575
1595331614,12552,12552
1595333566,12543,12543
1595335455,12528,12528
1595337376,12516,12516
1595339322,12501,12501
1595341213,12107,12107
1595343140,11769,11769
1595345124,11754,11754
1595346974,11755,11755
1595348893,11789,11789
1595350980,11813,11813
1595352999,11821,11821
1595354900,11910,11910
1595356812,11907,11907
1595358773,11914,11914
1595360653,11930,11930
1595362576,11948,11948
1595364524,11935,11935
1595366438,11914,11914
1595368346,11901,11901
1595370260,11911,11911
1595372202,11918,11918
1595374360,11914,11914
1595376271,11896,11896
1595378176,11890,11890
1595380126,11883,11883
1595382039,11886,11886
1595384007,11869,11869
1595385928,11862,11862
1595387792,11858,11858
1595389709,11873,11873
1595392191,12219,12219
1595394228,12225,12225
1595396197,12238,12238
1595398109,12227,12227
1595400016,12214,12214
1595401961,12197,12197
1595403855,12220,12220
1595405780,12222,12222
1595407723,12138,12138
1595409622,12148,12148
1595411535,12149,12149
1595413486,12127,12127
1595415382,12171,12171
1595417296,12190,12190
1595419411,12193,12193
1595421398,12189,12189
1595423382,12180,12180
1595425219,12178,12178
1595427164,12175,12175
1595429059,12151,12151
1595431020,12133,12133
1595432894,12131,12131
1595434812,12110,12110
1595436768,12080,12080
1595438667,12060,12060
1595440614,11909,11909
1595442559,11905,11905
1595445401,11858,11858
1595447296,11865,11865
1595449223,11850,11850
1595451155,11834,11834
1595453109,11854,11854
1595454989,11852,11852
1595456932,11859,11859
1595458942,13567,13567
1595461002,17366,17366
1595462892,20085,20085
1595464813,22494,22494
1595466762,24717,24717
1595468653,26902,26902
1595470608,27789,27789
1595472526,27785,27785
1595474414,27770,27770
1595476331,27778,27778
1595478286,27780,27780
1595480177,27510,27510
1595482096,27498,27498
1595484141,27772,27772
1595486201,28640,28640
1595488092,29070,29070
1595490049,29870,29870
1595491981,30576,30576
1595493855,31404,31404
1595496021,32143,32143
1595497932,32899,32899
1595499895,33584,33584
1595501772,34267,34267
1595503699,34857,34857
1595506591,35915,35915
1595508535,36824,36824
1595510424,37639,37639
1595512385,38489,38489
1595514296,39247,39247
1595516182,40159,40159
1595518115,40876,40876
1595520316,41693,41693
1595522213,42556,42556
1595524108,43308,43308
1595526016,44045,44045
1595527965,44501,44501
1595529870,45136,45136
1595531780,45701,45701
1595533749,46641,46641
1595535618,47417,47417
1595537539,48329,48329
1595539546,48889,48889
1595541438,48924,48924
1595543306,48911,48911
1595545521,48086,48086
1595547403,46092,46092
1595549296,44635,44635
1595551216,43167,43167
1595553173,41762,41762
1595555054,40478,40478
1595556977,39905,39905
1595558925,39940,39940
1595560828,39961,39961
1595562742,39953,39953
1595564691,39963,39963
1595566579,39958,39958
1595568536,39948,39948
1595570631,39583,39583
1595572634,38317,38317
1595574770,37376,37376
1595576653,36286,36286
1595578594,35497,35497
1595580524,34392,34392
1595582420,33534,33534
1595584335,32487,32487
1595586285,31499,31499
1595588171,30506,30506
1595590088,29664,29664
1595592187,28587,28587
1595594198,27428,27428
1595596104,26526,26526
1595598016,25271,25271
1595599961,24382,24382
1595601854,23280,23280
1595604037,22034,22034
1595605946,21028,21028
1595607943,19968,19968
1595609784,18914,18914
1595611710,18058,18058
1595613824,17114,17114
1595615800,16227,16227
1595617705,15378,15378
1595619631,14348,14348
1595621563,13348,13348
1595623464,12297,12297
1595625423,11298,11298
1595627327,11254,11254
1595629227,11256,11256
1595631134,11263,11263
1595633097,11244,11244
1595634974,11556,11556
1595636892,13577,13577
1595638921,15988,15988
1595640731,17896,17896
1595642654,20275,20275
1595644605,22368,22368
1595646512,24011,24011
1595648449,25541,25541
1595650353,25540,25540
1595652285,25557,25557
1595654183,25566,25566
1595656342,25572,25572
1595658284,25584,25584
1595660180,25574,25574
1595662092,25553,25553
1595664251,25543,25543
1595666205,25417,25417
1595668108,25408,25408
1595670013,25416,25416
1595671969,25418,25418
1595673904,25443,25443
1595675810,25462,25462
1595677727,25470,25470
1595679656,25473,25473
1595681539,25483,25483
1595683530,25504,25504
1595685396,25515,25515
1595687351,25512,25512
1595689402,25518,25518
1595691374,25529,25529
1595693563,25519,25519
1595695459,25523,25523
1595697414,25514,25514
1595699327,25514,25514
1595701238,25526,25526
1595703168,25496,25496
1595705092,25474,25474
1595706995,25463,25463
1595708899,25459,25459
1595711080,25452,25452
1595713005,25456,25456
1595714826,25432,25432
1595716816,25423,25423
1595718765,25403,25403
1595720653,25391,25391
1595722613,23908,23908
1595724531,21443,21443
1595726416,19509,19509
1595728335,16850,16850
1595730300,14915,14915
1595732179,12958,12958
1595734103,10873,10873
1595737001,10857,10857
1595738937,10841,10841
1595740820,10832,10832
1595742742,10835,10835
1595744697,10846,10846
1595746586,10839,10839
1595748510,10821,10821
1595750700,10803,10803
1595752610,10820,10820
1595754512,10736,10736
1595756424,10732,10732
1595758379,10710,10710
1595760259,10677,10677
1595762197,10677,10677
1595764164,10691,10691
1595766282,10683,10683
1595768208,10681,10681
1595770107,10659,10659
1595772297,10652,10652
1595774175,10650,10650
1595776133,10665,10665
1595778013,10636,10636
1595779939,10637,10637
1595781936,10641,10641
1595783780,10647,10647
1595785725,10658,10658
1595787659,10663,10663
1595789535,10665,10665
1595791459,10669,10669
1595793408,10677,10677
1595795306,10678,10678
1595798449,10720,10720
1595800337,10730,10730
1595802288,10737,10737
1595804207,10732,10732
1595806097,10704,10704
1595808159,10684,10684
1595810171,10661,10661
1595812150,10651,10651
1595814014,10633,10633
1595815991,10617,10617
1595817860,10622,10622
1595819802,10617,10617
1595821753,10601,10601
1595823625,10604,10604
1595825546,10612,10612
1595827485,10604,10604
1595829376,10593,10593
1595831308,10595,10595
1595833291,10602,10602
1595835161,10629,10629
1595837060,10637,10637
1595839002,10635,10635
1595840917,10654,10654
1595842814,10666,10666
1595844765,10677,10677
1595846655,10683,10683
1595848676,10674,10674
1595850495,10684,10684
1595852441,10678,10678
1595854372,10665,10665
1595856252,10719,10719
1595858207,10890,10890
1595860090,11462,11462
1595862128,11587,11587
1595863931,11656,11656
1595865948,11704,11704
1595867829,11802,11802
1595869692,11901,11901
1595871612,12010,12010
1595873608,12094,12094
1595875459,12147,12147
1595877377,12227,12227
1595879355,12321,12321
1595881267,12442,12442
1595883162,12485,12485
1595885086,12502,12502
1595886979,12512,12512
1595888984,12597,12597
1595890914,12636,12636
1595892730,12712,12712
1595894707,12748,12748
1595896627,12781,12781
1595898534,12790,12790
1595900418,12835,12835
1595902392,12790,12790
1595904260,12806,12806
1595906193,12840,12840
1595908131,12879,12879
1595910026,12901,12901
1595911944,12914,12914
1595913900,12926,12926
1595915775,12932,12932
1595917703,12928,12928
1595920820,12949,12949
1595922771,12949,12949
1595924705,12975,12975
1595926586,12964,12964
1595928746,12952,12952
1595930691,12959,12959
1595932612,12984,12984
1595934524,12999,12999
1595936468,12989,12989
1595938415,12963,12963
1595940274,12972,12972
1595942201,12919,12919
1595944369,12927,12927
