DateTime,AddedIPs,RemovedIPs
1595085969,0,5
1595087783,0,1
1595089938,0,4
1595091865,0,7
1595093802,3,9
1595095821,0,3
1595097756,1,0
1595101687,1,0
1595107450,1,0
1595114197,2,0
1595116098,5,0
1595118008,2,0
1595119955,1,0
1595121853,4,0
1595123768,3,0
1595125712,6,0
1595129779,10,0
1595131731,7,0
1595133612,1,0
1595135556,1,0
1595137450,5,0
1595139372,1,0
1595141321,8,0
1595143213,5,0
1595145133,3,2
1595147084,1,1
1595148972,2,0
1595153077,5,2
1595155016,6,1
1595156901,5,1
1595158814,2,1
1595160795,3,0
1595162657,4,0
1595164579,2,0
1595166657,5,1
1595168535,1,0
1595170575,8,1
1595172687,4,0
1595174562,1,0
1595180213,1,3
1595182102,5,0
1595184019,7,1
1595186017,2,0
1595187877,5,0
1595189799,2,1
1595191735,1,0
1595193625,0,1
1595197503,1,0
1595199382,2,0
1595201195,0,4
1595203409,0,3
1595205405,0,2
1595207309,0,4
1595209218,1,3
1595211169,1,2
1595213065,1,5
1595215018,0,3
1595216929,4,14
1595220741,1,1
1595222709,0,3
1595224598,372,3
1595226835,119,8
1595228692,1039,2
1595230576,1431,6
1595232502,39,2
1595234454,1,2
1595236349,1,0
1595238289,2,5
1595240183,1,3
1595242128,0,7
1595244022,1,2
1595245961,0,3
1595247957,0,2
1595249798,1,3
1595251723,1,2
1595253899,0,1
1595256060,0,6
1595257948,0,2
1595259872,0,2
1595261806,0,1
1595263694,1,0
1595267567,0,3
1595269461,0,8
1595271388,2,2
1595273325,0,3
1595275475,0,4
1595277376,0,1
1595279349,1,1
1595283176,1,0
1595285065,0,1
1595286981,0,1
1595288926,3,0
1595290837,4,0
1595292736,3,0
1595294687,1,0
1595296582,0,1
1595298524,5,1
1595300698,5,0
1595302602,1,3
1595304512,4,1
1595306458,0,1
1595308375,2,0
1595312191,0,340
1595314137,2,528
1595316019,2,1210
1595317938,0,930
1595319892,0,2
1595321804,3,2
1595323838,4,1
1595325922,4,1
1595327808,2,1
1595329702,4,1
1595331618,1,0
1595333568,6,0
1595335459,4,0
1595337377,2,2
1595343141,2,0
1595345133,1,0
1595348895,2,0
1595351073,1,1
1595353001,2,0
1595356817,0,1
1595358780,0,1
1595360655,1,0
1595364558,3,0
1595366454,1,1
1595368347,2,0
1595370262,1,1
1595372204,5,0
1595374381,2,0
1595376275,1,5
1595378180,4,3
1595380131,0,2
1595382040,3,1
1595384008,1,4
1595385931,4,5
1595387794,0,2
1595389711,4,3
1595392192,0,1
1595394254,2,2
1595396199,2,0
1595398111,1,0
1595400018,2,1
1595401962,3,3
1595403859,4,0
1595405782,3,0
1595407727,0,1
1595409626,0,5
1595411537,0,3
1595413491,1,2
1595415383,4,5
1595417303,0,2
1595419428,0,2
1595421403,2,7
1595423387,2,2
1595425220,2,1
1595429061,0,1
1595431022,1,2
1595432920,2,0
1595434814,1,0
1595436818,3,2
1595438713,1,2
1595440624,1,1
1595442561,1,0
1595447300,1,1
1595449225,0,1
1595451159,1,2
1595453112,0,1
1595454991,1,2
1595456933,1,3
1595458996,0,3
1595461004,1,2
1595462896,1,2
1595464817,0,3
1595468655,1,3
1595470614,0,1
1595472528,1,4
1595474415,1,1
1595476336,0,3
1595478287,1,0
1595480178,2,2
1595482098,2,1
1595484209,1,2
1595486203,6,2
1595488097,0,2
1595490061,5,5
1595491994,4,3
1595493857,5,0
1595496026,1,0
1595497934,3,0
1595499898,3,1
1595501778,7,4
1595503706,3,0
1595506811,9,0
1595508734,3,2
1595510681,0,2
1595512577,2,2
1595514487,1,0
1595516515,2,0
1595518336,3,3
1595520319,4,1
1595522214,1,3
1595524109,3,1
1595526017,5,0
1595527966,0,2
1595531781,2,0
1595533750,1,1
1595537541,1,1
1595539547,1,0
1595541440,3,1
1595543307,1,1
1595545544,2,0
1595547404,3,1
1595549297,3,1
1595551217,2,0
1595553175,1,0
1595555055,1,1
1595556979,7,0
1595558926,7,1
1595560829,2,1
1595562743,5,0
1595564692,3,1
1595566579,6,2
1595568536,2,2
1595570677,2,1
1595572635,2,6
1595574772,3,0
1595576654,1,5
1595578596,0,4
1595580525,14,5
1595582421,0,1
1595584336,8,3
1595586286,4,3
1595588172,3,7
1595590090,0,2
1595592202,1,3
1595594205,496,7
1595596106,0,1
1595598017,1,1
1595599962,0,2
1595601855,5,2
1595604050,4,1
1595605947,1,6
1595607945,3,0
1595609785,2,0
1595611711,5,1
1595613826,1,4
1595617706,0,7
1595619632,1,2
1595623465,3,1
1595625424,6,1
1595627328,5,1
1595629228,0,1
1595631135,1,1
1595633098,0,2
1595634975,2,4
1595636893,7,2
1595640014,12,2
1595641932,2,2
1595643914,3,7
1595645811,1,7
1595647718,2,1
1595650877,6,7
1595652738,3,7
1595654659,1,2
1595656693,3,2
1595658514,5,2
1595660613,8,3
1595662603,2,1
1595666437,1,3
1595668369,3,1
1595670264,3,4
1595672178,0,8
1595674173,4,2
1595676018,1,1
1595677964,4,0
1595679918,1,509
1595681782,2,0
1595685858,0,1
1595687808,2,4
1595689720,0,2
1595691663,0,4
1595695462,0,5
1595697416,1,2
1595699329,1,3
1595701241,0,1
1595703170,1,0
1595707005,2,1
1595708901,0,1
1595711115,0,3
1595713007,2,10
1595716818,2,1
1595720655,1,1
1595722620,1,3
1595724538,1,6
1595726420,0,11
1595728337,0,2
1595730302,0,3
1595732180,1,1
1595734105,0,2
1595737003,7,5
1595738939,0,4
1595740823,1,1
1595742744,3,3
1595744699,6,5
1595746588,1,8
1595748512,2,0
1595750706,3,2
1595752612,3,1
1595754539,0,3
1595756430,5,3
1595760261,0,4
1595762199,2,1
1595764169,5,3
1595766284,7,1
1595768215,4,2
1595770109,2,0
1595772300,0,1
1595774179,2,1
1595776135,1,0
1595778015,4,0
1595779941,4,0
1595781941,2,0
1595783781,0,1
1595785726,3,1
1595789536,3,1
1595791463,1,0
1595793410,0,1
1595797360,2,0
1595799193,2,2
1595803224,2,2
1595805173,1,0
1595807059,0,1
1595809017,0,1
1595810915,2,1
1595812874,1,0
1595814735,7,0
1595816725,1,0
1595818583,11,1
1595820740,8,2
1595822692,3,4
1595824611,1,1
1595826502,2,0
1595828413,5,4
1595830365,0,6
1595832266,5,0
1595834181,1,1
1595836129,4,4
1595838034,5,1
1595839942,6,4
1595841886,2,0
1595843776,0,5
1595847871,0,2
1595849780,3,3
1595851734,1,6
1595853623,3,4
1595855539,2,4
1595857483,4,1
1595859377,5,0
1595861322,6,3
1595863226,1,0
1595865143,2,4
1595867092,0,5
1595868974,1,2
1595870899,5,1
1595873116,2,2
1595875051,0,3
1595878850,0,1
1595882664,1,2
1595884643,4,0
1595886528,4,2
1595890348,2,2
1595892294,2,1
1595894196,1,0
1595896111,1,1
1595898289,5,1
1595900227,3,1
1595902117,0,8
1595904022,2,4
1595905972,2,9
1595907859,2,7
1595909795,0,2
1595911741,1,1
1595913635,1,3
1595915537,0,4
1595917494,1,0
1595919391,0,5
1595921321,0,2
1595923428,1,5
1595925406,3,5
1595927292,0,4
1595929211,2,2
1595933055,1,0
1595934977,1,1
1595936929,2,3
1595938838,0,1
1595940767,1,2
1595942717,2,3
1595944766,2,6
1595946585,0,7
1595948630,0,1
1595950616,2,3
1595954422,3,0
1595956384,0,4
1595958282,0,4
1595966000,2,0
1595967882,2,0
1595969783,0,3
1595971729,7,5
1595973914,3,1
1595975784,4,0
1595977731,1,4
1595981603,2,2
1595983502,0,3
1595985380,0,3
1595987294,2,2
1595991147,1,3
1595993066,0,1
1595995007,1,2
1595996895,2,0
1595999076,1,1
1596000981,1,1
1596004825,1,1
1596008689,0,1
1596012744,0,3
1596016661,3,2
1596018494,9,0
1596020543,5,1
1596022348,4,3
1596026206,0,1
1596028095,1,1
1596030019,1,3
1596035804,0,1
1596037693,2,1
1596041565,4,3
1596045410,1,0
1596047337,1,0
1596049383,2,0
1596051377,2,1
1596053545,0,1
1596055486,0,2
1596057405,1,3
1596059302,1,7
1596063142,5,4
1596065062,3,1
1596067018,6,1
1596068919,9,1
1596071017,2,0
1596072981,1,2
1596075178,2,0
1596077116,2,0
1596079009,3,1
1596080898,0,1
1596082848,4,1
1596084746,2,1
1596086663,2,1
1596088604,0,1
1596090491,383,1
1596092566,2,0
1596098183,3,0
1596102012,1,0
1596103933,0,7
1596105897,1,8
1596107780,1,2
1596109700,1,4
1596111655,1,0
1596115487,0,1
1596117412,1,1
1596121374,1,0
1596123410,2,2
1596125368,1,0
1596127225,1,4
1596131331,2,1
1596133246,0,1
1596135143,0,1
1596137108,0,1
1596138978,2,2
1596140898,3,0
1596143035,3,0
1596145018,1,1
1596146904,0,1
1596148825,2,4
1596150778,1,4
1596152657,1,3
1596154577,1,7
1596156531,2,7
1596160335,1,2
1596162290,3,2
1596164183,4,3
1596166094,2,1
1596168205,3,1
1596170217,0,5
1596172348,0,2
1596174260,1,0
1596176207,1,382
1596178094,2,3
1596180021,518,0
1596183858,0,1
1596185794,8,2
1596189855,4,1
