DateTime,AddedIPs,RemovedIPs
1592603784,32,32
1592610987,28,22
1592618190,38,84
1592625635,49,34
1592632830,29,31
1592640267,30,36
1592647721,23,30
1592655160,28,30
1592662579,38,46
1592669783,33,35
1592676984,33,29
1592684428,32,34
1592692344,29,40
1592699545,28,54
1592706746,44,45
1592713471,36,32
1592720672,22,21
1592728585,37,37
1592735790,29,21
1592743226,34,28
1592750431,29,23
1592757153,26,37
1592764589,26,35
1592771786,39,36
1592778993,24,17
1592786191,39,43
1592793391,49,42
1592800594,42,14
1592808025,35,25
1592815227,32,32
1592822665,34,31
1592829865,27,43
1592837070,21,29
1592844273,34,18
1592851476,29,28
1592858679,30,32
1592866113,36,28
1592873548,40,50
1592881069,53,44
1592888437,41,28
1592895385,28,25
1592902591,27,29
1592910511,23,29
1592917961,34,36
1592924435,38,34
1592931645,26,26
1592935332,15,0
1592939067,15,37
1592946515,29,37
1592953709,29,39
1592960911,50,56
1592968824,62,39
1592976024,31,25
1592983228,25,31
1592990437,38,21
1592998350,17,32
1593005070,23,34
1593012274,31,39
1593019470,40,0
1593027156,30,55
1593034352,31,38
1593041551,22,35
1593048991,47,69
1593056193,76,33
1593063390,35,29
1593070729,36,22
1593078269,29,29
1593085469,26,28
1593092674,31,29
1593099872,44,40
1593107765,32,33
1593114967,28,40
1593122168,24,24
1593129367,28,31
1593136571,42,66
1593143769,38,42
1593150987,25,23
1593158188,19,40
1593165389,27,24
1593172590,22,28
1593179793,23,34
1593187233,42,29
1593194437,38,26
1593202114,33,39
1593209391,28,26
1593216747,30,49
1593223947,46,44
1593231146,33,26
1593238347,19,27
1593245551,27,26
1593252996,26,29
1593260188,29,19
1593267398,36,33
1593275303,33,30
1593282504,34,44
1593289949,39,33
1593297148,21,46
1593304351,28,46
1593311548,57,48
1593318745,50,19
1593326189,29,30
1593333388,29,19
1593340833,19,26
1593348269,23,31
1593355478,21,35
1593362908,27,26
1593370113,25,33
1593377308,29,34
1593384509,44,29
1593391709,39,51
1593394587,21,0
1593396034,4,0
1593398911,21,52
1593399625,25,0
1593406827,37,22
1593414030,26,21
1593421234,34,29
1593428483,29,17
1593436350,30,21
1593443551,25,34
1593450751,32,29
1593457951,37,31
1593465151,31,23
1593472350,29,17
1593480268,43,5
1593487475,52,124
1593494678,41,28
1593501869,23,23
1593509072,35,27
1593516272,26,30
1593523472,25,23
1593531127,38,31
1593538352,33,39
1593545795,35,47
1593552994,28,27
1593559956,23,52
1593565722,35,0
1593572916,66,53
1593573630,4,0
1593574350,0,36
1593580359,35,0
1593584677,18,16
1593591640,27,25
1593599311,24,28
1593606642,28,25
1593614169,29,36
1593621390,34,37
1593628586,38,31
1593635788,36,35
1593643230,19,31
1593650671,43,28
1593657870,49,66
1593665308,46,2
1593672748,23,75
1593679712,21,21
1593687152,28,30
1593694589,21,43
1593701787,29,31
1593709231,36,21
1593716436,36,46
1593723634,28,27
1593730835,36,40
1593738032,41,61
1593745236,53,51
1593752923,31,26
1593760123,27,28
1593767399,25,24
1593775231,26,29
1593782430,25,25
1593789632,25,30
1593796831,30,32
1593803554,27,23
1593810754,33,35
1593817954,23,56
1593825875,51,48
1593832832,41,33
1593840752,37,24
1593847481,17,32
1593854913,26,26
1593862354,18,22
1593869792,34,45
1593876992,29,31
1593884192,34,36
1593891399,18,30
1593899315,28,29
1593906514,25,43
1593913716,35,54
1593920914,39,38
1593928116,34,15
1593935317,24,21
1593942753,26,26
1593950032,32,19
1593957429,18,22
1593964595,22,38
1593971791,31,24
1593978995,19,25
1593986194,31,25
1593993633,34,49
1594000835,51,45
1594008046,30,25
1594011881,13,0
1594018596,27,22
1594025795,32,17
1594033242,29,20
1594040439,22,27
1594047647,33,28
1594055556,39,31
1594062758,23,28
1594069952,27,22
1594077152,20,28
1594083873,35,42
1594091313,55,45
1594098525,31,38
1594105729,31,32
1594113633,30,22
1594121081,34,23
1594127802,32,32
1594135237,27,32
1594143159,30,33
1594150086,27,38
1594157048,30,35
1594164486,29,39
1594171943,49,56
1594178678,62,35
1594186593,37,17
1594193554,28,23
1594200757,32,31
1594208203,33,37
1594215399,16,37
1594222594,33,34
1594229796,20,34
1594237239,34,41
1594244675,25,29
1594251881,30,36
1594259050,42,63
1594266278,55,30
1594273480,24,27
1594281390,24,36
1594288593,21,21
1594295314,30,30
1594303234,26,22
1594310676,24,29
1594317368,25,39
1594324831,25,33
1594332040,22,41
1594339242,19,35
1594346915,50,59
1594354361,57,30
1594361557,31,26
1594368757,29,23
1594376194,30,32
1594383400,30,20
1594390835,24,34
1594398033,20,40
1594405232,26,25
1594412433,33,28
1594419607,24,30
1594426832,24,47
1594434279,47,53
1594441477,34,26
1594448683,22,34
1594455879,39,28
1594463080,27,16
1594470283,29,35
1594477484,23,28
1594485129,30,34
1594492329,25,31
1594499532,36,33
1594506730,23,37
1594514647,31,53
1594521849,44,36
1594529052,47,19
1594536487,18,20
1594543690,25,25
1594550677,43,19
1594557886,21,29
1594565077,26,29
1594572517,26,22
1594579714,25,20
1594586913,20,29
1594594113,21,33
1594601554,32,54
1594608991,57,40
1594616192,37,21
1594624123,23,26
1594630849,43,20
1594638041,24,20
1594646181,29,19
1594652901,35,34
1594660120,28,27
1594667317,32,32
1594675210,25,27
1594681939,21,31
1594689855,34,54
1594696709,63,35
1594704076,29,24
1594711455,30,24
1594719132,19,26
1594726113,27,23
1594733557,31,32
1594740997,25,36
1594748195,34,32
1594755396,23,35
1594762843,18,22
1594770041,21,35
1594776994,41,62
1594784201,53,31
1594791402,40,18
1594799278,26,26
1594806524,26,24
1594813725,25,28
1594820928,26,30
1594828638,25,31
1594835317,52,18
1594842519,20,33
1594849720,28,28
1594857128,34,55
1594864815,50,48
1594872030,43,28
1594879226,24,18
1594886653,24,21
1594893368,30,30
1594901295,25,34
1594907799,35,23
1594915481,27,38
1594922920,28,27
1594929877,33,28
1594936834,24,42
1594944250,29,52
1594951723,50,48
1594958921,42,35
1594966123,32,28
1594973323,33,30
1594980733,28,24
1594987963,26,20
1594995158,29,35
1595003116,34,32
1595010284,33,28
1595016996,25,28
1595024679,17,40
1595031877,35,60
1595039078,50,46
1595046034,34,31
1595053480,24,29
1595060682,19,30
1595067884,34,25
1595075075,30,31
1595082276,23,37
1595089480,35,0
1595097157,38,67
1595104836,23,30
1595112037,20,33
1595119236,34,48
1595126673,41,35
1595133878,38,24
1595140595,22,35
1595147796,23,21
1595155009,35,33
1595162911,23,29
1595170369,17,24
1595177074,33,27
1595184517,25,37
1595191721,24,22
1595198921,20,35
1595206116,44,51
1595213320,45,38
1595220518,32,19
1595227958,24,12
1595235159,33,25
1595242840,26,24
1595250041,27,29
1595257488,28,20
1595264712,29,25
1595271878,20,22
1595279317,28,18
1595286755,29,44
1595293973,39,51
1595301155,54,40
1595308362,31,19
1595315560,23,26
1595322761,27,23
1595329960,36,21
1595337156,29,26
1595344360,21,22
1595351559,40,28
1595358757,23,30
1595366652,28,23
1595373851,28,46
1595381052,26,54
1595388006,61,41
1595395207,35,30
1595402406,27,22
1595409609,28,37
1595416808,21,22
1595424008,31,26
1595431931,32,27
1595438650,30,19
1595445862,28,23
1595453081,19,20
1595460281,24,39
1595467479,39,49
1595474679,46,36
1595482596,32,20
1595489796,22,31
1595496998,22,25
1595504202,27,22
1595511403,23,27
1595518599,32,22
1595525800,28,25
1595532997,30,33
1595540921,43,23
1595548119,25,36
1595555320,41,55
1595562519,42,31
1595569720,28,27
1595576932,35,23
1595584117,29,21
1595591317,34,31
1595598519,23,39
1595605720,40,32
