DateTime,AddedIPs,RemovedIPs
1594732656,1,0
1594733680,0,1
1594737269,1,0
1594740948,1,4
1594748068,1,1
1594750604,1,0
1594751669,1,1
1594758872,3,0
1594761207,1,0
1594762471,2,0
1594769133,1,0
1594769671,0,1
1594772730,1,17
1594773270,1,3
1594776325,4,0
1594780470,1,3
1594791268,1,0
1594793059,1,0
1594795837,1,0
1594798464,0,2
1594800646,0,1
1594802070,0,1
1594804689,4,0
1594806041,1,0
1594807458,0,1
1594810969,2,1
1594816984,0,1
1594818216,3,0
1594820071,3,0
1594821594,1,1
1594827270,3,2
1594828660,1,1
1594837391,1,1
1594839285,2,0
1594841668,0,1
1594845272,1,1
1594847786,5,0
1594848871,3,0
1594852595,1,0
1594855532,2,0
1594858321,0,1
1594859668,2,0
1594863272,0,1
1594866331,0,1
1594867838,1,1
1594870471,0,2
1594874073,3,1
1594877139,2,0
1594878404,0,1
1594882432,2,0
1594885689,0,1
1594888472,1,0
1594890122,1,0
1594892078,0,1
1594899270,1,0
1594902870,0,1
1594905935,1,0
1594906475,0,1
1594909253,1,0
1594910068,2,0
1594913669,0,4
1594917613,0,1
1594920128,1,1
1594920853,0,1
1594922632,1,0
1594926917,1,0
1594930316,0,1
1594932632,0,3
1594935269,1,0
1594938871,0,1
1594946076,0,1
1594947276,2,0
1594949676,3,1
1594952742,1,0
1594956080,1,0
1594959942,1,0
1594964072,1,1
1594965541,1,1
1594970351,1,0
1594974334,0,1
1594974873,0,3
1594977775,3,1
1594980055,0,2
1594987360,2,0
1594989272,1,3
1594996469,3,0
1595000068,2,5
1595001811,2,0
1595006301,1,1
1595007270,1,0
1595009084,0,2
1595010866,1,1
1595012181,2,0
1595014468,2,0
1595015835,2,1
1595017535,1,23
1595018076,0,3
1595019951,2,0
1595021130,2,0
1595021671,0,1
1595023616,0,3
1595025272,2,0
1595028870,2,0
1595035309,1,0
1595038109,1,1
1595040822,1,0
1595042736,1,1
1595043274,0,3
1595046875,0,1
1595057667,3,1
1595061267,1,1
1595064328,2,0
1595065831,1,0
1595067781,1,0
1595068472,1,1
1595073195,2,1
1595075667,1,1
1595079270,1,1
1595080495,0,1
1595084881,1,0
1595087430,0,4
1595088789,0,1
1595093668,2,1
1595097273,0,1
1595100330,1,0
1595103275,0,1
1595106962,1,0
1595110529,1,0
1595111670,1,0
1595114426,2,0
1595117595,0,2
1595119833,1,3
1595122473,0,1
1595125022,1,1
1595126073,1,0
1595128430,1,0
1595132265,2,0
1595134424,1,0
1595140951,1,1
1595143222,1,0
1595145828,1,2
1595147668,0,1
1595154866,1,0
1595156338,0,1
1595158467,1,1
1595165130,1,0
1595166630,1,3
1595171477,1,4
1595172875,0,3
1595176472,2,2
1595180760,0,2
1595182951,0,1
1595183669,0,2
1595185365,0,1
1595187266,1,1
1595189236,1,2
1595191832,0,1
1595197403,0,2
1595198070,0,1
1595200164,1,1
1595201669,1,0
1595205280,0,1
1595208873,2,1
1595212002,4,1
1595212473,1,1
1595214607,1,0
1595217042,1,0
1595219683,0,1
1595223279,2,0
1595224489,1,0
1595225802,0,3
1595226871,0,1
1595230478,0,1
1595231994,1,0
1595234072,0,2
1595236176,1,0
1595238634,1,1
1595241269,1,0
1595244870,0,3
1595246341,1,0
1595247930,2,0
1595248473,1,0
1595249787,0,1
1595251145,2,0
1595254800,2,1
1595259274,1,0
1595261239,5,1
1595262871,1,0
1595270071,0,1
1595271238,1,0
1595276424,1,1
1595279822,0,1
1595280868,1,1
1595282352,1,0
1595283940,3,0
1595284476,0,2
1595287532,1,0
1595289035,2,1
1595291140,1,0
1595294228,3,2
1595295271,0,1
1595296664,1,0
1595298873,0,1
1595300964,0,1
1595305541,3,1
1595306863,1,0
1595308043,1,0
1595309176,0,1
1595310525,0,1
1595312177,1,0
1595315239,0,1
1595316870,0,1
1595321974,2,0
1595324073,4,1
1595330145,1,1
1595334089,56,0
1595335840,0,1
1595339654,1,0
1595340857,2,1
1595345667,1,4
1595349271,1,0
1595356466,0,1
1595359227,1,1
1595360069,1,0
1595361728,12,0
1595369820,1,0
1595370881,1,1
1595373122,0,1
1595378070,0,2
1595379742,1,0
1595382633,0,5
1595385274,0,1
1595388327,0,1
1595391937,2,0
1595393434,1,3
1595395361,0,1
1595404419,1,0
1595407695,1,0
1595410471,1,2
1595413039,2,1
1595414069,1,0
1595416479,0,1
1595417670,1,2
1595420735,1,1
1595422233,1,0
1595424330,1,0
1595425532,5,1
1595428467,0,1
1595429919,1,3
1595431120,1,1
1595432070,0,8
1595438726,1,0
1595440479,1,0
1595442330,1,1
1595442869,1,0
1595445576,0,1
1595452611,0,1
1595453665,0,3
1595457266,0,1
1595458984,1,1
1595460331,1,0
1595461835,2,3
1595464469,4,3
1595465821,0,1
1595467537,0,1
1595471132,1,0
1595471669,1,0
1595475273,0,2
1595479835,1,0
1595481930,4,0
1595483433,0,1
1595487411,1,0
1595489127,0,2
1595492009,1,2
1595495749,1,0
1595501940,1,2
1595504069,0,7
1595509169,0,1
1595512069,0,1
1595513913,1,0
1595518468,0,51
1595522071,2,0
1595523932,2,0
1595529763,1,1
1595532326,0,12
1595535461,1,0
1595536474,1,0
1595537974,0,1
1595543666,2,0
1595546733,2,0
1595550332,0,1
1595558072,0,1
1595560231,1,0
1595561676,0,1
1595565271,1,1
1595568868,2,0
1595571208,0,1
1595572469,1,0
1595574652,1,1
1595581598,1,1
1595583265,1,0
1595586097,0,1
1595586870,0,1
1595590472,0,2
1595594070,0,4
1595597669,1,5
1595599350,0,1
1595601270,1,2
1595604870,1,1
1595606964,1,0
1595608472,0,2
1595611535,0,1
1595612916,0,2
1595614410,1,0
1595615736,1,0
1595619272,1,0
1595622871,0,1
1595627434,2,0
1595631759,0,6
1595642357,1,2
1595645601,2,0
1595647533,1,0
1595648070,0,1
1595651672,0,5
1595660323,1,1
1595664540,1,0
1595669126,2,0
1595672140,0,1
1595676109,1,0
1595681257,1,0
1595684070,0,1
