DateTime,Entries,UniqueIPs
1595168409,1125,1211
1595170367,1142,1231
1595172522,1110,1201
1595174411,1117,1209
1595178269,1035,1126
1595180206,1016,1108
1595182097,1005,1094
1595184014,993,1082
1595185967,980,1067
1595187854,1009,1098
1595189768,1033,1124
1595191718,1026,1115
1595193607,1036,1123
1595195529,1086,1173
1595197483,1076,1159
1595199368,1099,1182
1595201530,1134,1214
1595203697,1157,1235
1595205615,1187,1264
1595209449,1172,1243
1595211369,1182,1253
1595213318,1203,1277
1595215207,1192,1269
1595217127,1194,1270
1595219085,1192,1266
1595220970,1186,1259
1595222887,1192,1261
1595224850,1187,1255
1595227686,1211,1281
1595229605,1216,1287
1595231556,1213,1285
1595233451,1226,1299
1595235647,1235,1307
1595237564,1235,1308
1595239447,1254,1328
1595241404,1269,1343
1595243293,1273,1349
1595245237,1244,1318
1595247168,1263,1339
1595249054,1260,1336
1595250966,1281,1357
1595252918,1268,1341
1595254805,1290,1367
1595256761,1302,1378
1595258648,1284,1358
1595260567,1301,1378
1595262515,1311,1390
1595264411,1328,1408
1595268276,1328,1407
1595270165,1325,1403
1595272337,1318,1397
1595274247,1314,1396
1595276170,1278,1356
1595278085,1298,1378
1595281926,1276,1356
1595285764,1227,1305
1595287687,1219,1294
1595289648,1207,1280
1595291529,1184,1256
1595295604,1158,1230
1595297554,1157,1228
1595299449,1149,1221
1595303312,1133,1202
1595307124,1115,1181
1595309075,1106,1176
1595310964,1106,1174
1595312883,1104,1175
1595316728,1070,1142
1595320811,1057,1125
1595324646,1042,1108
1595326566,1039,1105
1595328512,1044,1111
1595330407,1045,1111
1595332326,1054,1122
1595334272,1064,1129
1595336167,1065,1134
1595338083,1059,1129
1595340036,1068,1134
1595341931,1056,1119
1595343852,1053,1115
1595345795,1050,1112
1595347702,1037,1099
1595349604,1025,1090
1595351556,1018,1082
1595353469,1028,1092
1595355369,1020,1084
1595359208,1004,1068
1595361156,1014,1076
1595363076,1017,1077
1595364972,1024,1084
1595366883,1039,1099
1595368813,1030,1093
1595370752,1073,1138
1595372648,1077,1142
1595374564,1090,1155
1595376513,1094,1160
1595378410,1090,1156
1595380327,1111,1178
1595382273,1106,1173
1595385009,1102,1170
1595389026,1097,1163
1595391440,1105,1166
1595393316,1128,1189
1595395205,1114,1175
1595397125,1123,1189
1595399088,1141,1207
1595400966,1143,1209
1595402884,1177,1243
1595404838,1196,1263
1595408648,1210,1277
1595410598,1238,1306
1595412487,1249,1318
1595414408,1254,1325
1595416359,1245,1315
1595418248,1246,1316
1595420170,1242,1311
1595422116,1247,1320
1595424005,1239,1312
1595425924,1255,1323
1595427874,1238,1304
1595429765,1233,1301
1595431731,1215,1286
1595433639,1235,1304
1595435524,1249,1320
1595438408,1247,1317
1595440332,1242,1312
1595442251,1240,1309
1595444198,1268,1337
1595446083,1277,1349
1595448016,1275,1347
1595449924,1277,1348
1595452093,1274,1345
1595454008,1296,1366
1595455962,1299,1369
1595457848,1269,1335
1595459774,1265,1328
1595461717,1252,1318
1595463607,1237,1303
1595465526,1244,1311
1595467476,1249,1311
1595469365,1251,1306
1595471286,1280,1344
1595473265,1287,1354
1595475124,1303,1372
1595477291,1315,1383
1595479212,1318,1390
1595481158,1327,1399
1595483048,1332,1405
1595484980,1336,1411
1595486917,1335,1407
1595488811,1334,1406
1595490726,1320,1394
1595492679,1311,1385
1595494578,1355,1429
1595496488,1349,1423
1595498435,1359,1430
1595500327,1364,1433
1595502248,1366,1431
1595504199,1378,1447
1595506091,1388,1459
1595508010,1381,1455
1595509957,1396,1464
1595511854,1382,1451
1595513774,1358,1427
1595515716,1364,1433
1595517624,1380,1449
1595519528,1405,1475
1595521531,1394,1461
1595525289,1364,1429
1595527235,1377,1443
1595529129,1395,1462
1595531312,1413,1477
1595533207,1419,1484
1595535157,1406,1472
1595537049,1401,1469
1595538972,1405,1471
1595540918,1400,1467
1595542813,1409,1475
1595546678,1386,1454
1595550483,1348,1416
1595552446,1338,1406
1595554325,1335,1400
1595556255,1321,1387
1595558196,1308,1370
1595560370,1301,1364
1595562253,1295,1357
1595564415,1289,1352
1595566330,1273,1335
1595568278,1268,1329
1595570165,1256,1314
1595573335,1219,1275
1595575206,1248,1305
1595577126,1246,1305
1595579075,1249,1310
1595580964,1285,1346
1595582884,1271,1332
1595584834,1266,1328
1595586725,1264,1329
1595588648,1266,1331
1595590592,1268,1334
1595592505,1235,1295
1595594411,1231,1288
1595596361,1224,1285
1595598246,1246,1308
1595600176,1234,1295
1595602116,1231,1291
1595604019,1241,1301
1595605928,1202,1262
1595607884,1220,1280
1595609774,1246,1306
1595611702,1252,1312
1595613684,1240,1296
1595615532,1240,1291
1595617696,1267,1321
1595619611,1240,1293
1595621555,1277,1330
1595623453,1266,1317
1595625370,1310,1361
1595627317,1324,1377
1595629211,1325,1377
1595631128,1325,1380
1595633076,1361,1418
1595634967,1379,1431
1595636885,1384,1438
1595638841,1419,1475
1595640726,1412,1467
1595642895,1427,1482
1595644809,1436,1493
1595647006,1451,1507
1595648889,1463,1518
1595650843,1472,1529
1595652729,1502,1559
1595656593,1468,1530
1595658487,1487,1549
1595660438,1495,1559
1595662335,1500,1564
1595664498,1500,1564
1595666413,1506,1571
1595668357,1491,1558
1595670251,1491,1558
1595672168,1488,1555
1595674117,1502,1563
1595676007,1497,1559
1595677943,1493,1561
1595679878,1480,1546
1595681766,1481,1548
1595683684,1481,1546
1595685640,1484,1548
1595687532,1482,1551
1595689714,1484,1552
1595691643,1500,1569
1595693545,1499,1569
1595695451,1492,1564
1595697403,1474,1546
1595699301,1471,1544
1595701228,1465,1538
1595703129,1457,1532
1595705080,1444,1520
1595706966,1434,1510
1595708887,1421,1498
1595710837,1407,1487
1595712729,1389,1470
1595714649,1366,1447
1595716600,1348,1431
1595718496,1344,1424
1595720410,1323,1406
1595722362,1300,1386
1595724250,1287,1372
1595726170,1266,1352
1595728119,1248,1340
1595730006,1228,1321
1595731927,1215,1309
1595733899,1195,1289
1595735766,1184,1278
1595737689,1171,1263
1595739643,1162,1253
1595741807,1182,1281
1595743698,1187,1286
1595745608,1195,1291
1595747561,1181,1276
1595749451,1164,1255
1595751616,1142,1237
1595753532,1135,1230
1595755482,1113,1207
1595757367,1114,1209
1595759285,1105,1198
1595761238,1092,1185
1595763128,1087,1177
1595765306,1079,1166
1595767242,1080,1168
1595771081,1050,1140
1595772978,1032,1121
1595774890,1034,1115
1595776840,1029,1110
1595778728,1012,1089
1595780648,1003,1080
1595782598,997,1073
1595784484,987,1062
1595786414,1002,1072
1595788363,1024,1096
1595790528,1038,1108
1595792406,1053,1122
1595794330,1059,1129
1595796280,1055,1121
1595798169,1060,1126
1595800089,1056,1123
1595802012,1061,1130
1595803932,1060,1131
1595805884,1053,1125
1595807764,1054,1128
1595809716,1048,1120
1595811612,1056,1128
1595813563,1059,1129
1595815450,1056,1122
1595817403,1064,1131
1595819292,1061,1129
1595821207,1075,1143
1595823161,1075,1144
1595825050,1086,1158
1595826993,1085,1157
1595828920,1077,1147
1595830806,1070,1140
1595832727,1076,1146
1595834679,1073,1143
1595836566,1086,1155
1595838484,1088,1154
1595840440,1095,1164
1595842328,1104,1175
1595844249,1114,1186
1595846197,1126,1204
1595848098,1119,1201
1595850038,1127,1208
1595851938,1131,1214
1595853880,1126,1208
1595855778,1157,1242
1595859636,1147,1229
1595861529,1149,1231
1595863477,1154,1236
1595865369,1175,1257
1595867285,1180,1262
1595869238,1212,1296
1595871130,1247,1328
1595873303,1262,1341
1595875209,1262,1345
1595877165,1262,1344
1595879051,1248,1329
1595880971,1252,1330
1595882921,1255,1330
1595884808,1256,1330
1595886728,1266,1344
1595888680,1254,1333
1595892486,1238,1316
1595894441,1243,1320
1595896331,1265,1342
1595898495,1275,1352
1595902362,1266,1340
1595904250,1255,1327
1595906171,1265,1337
1595908122,1258,1330
1595910007,1257,1332
1595911931,1264,1341
1595913881,1268,1345
1595915768,1274,1352
1595917687,1273,1353
1595919641,1267,1345
1595921528,1276,1357
1595923697,1263,1344
1595925610,1276,1358
1595927563,1285,1359
1595929450,1278,1350
1595931613,1272,1343
1595933529,1280,1351
1595935480,1276,1342
1595937365,1290,1351
1595939285,1299,1357
1595941240,1312,1373
1595943128,1316,1375
1595945083,1351,1412
1595947010,1353,1413
1595948908,1365,1425
1595950810,1389,1450
1595954650,1360,1417
1595956578,1339,1396
1595958524,1324,1383
1595960413,1315,1375
1595962333,1321,1377
1595964281,1313,1374
1595966168,1330,1390
1595968122,1328,1387
1595970012,1345,1403
1595971929,1351,1413
