DateTime,AddedIPs,RemovedIPs
1595168409,6,16
1595170367,17,10
1595172522,2,5
1595174411,6,5
1595178269,7,12
1595180206,12,5
1595182097,13,5
1595184014,12,0
1595185967,11,12
1595187854,20,15
1595189768,14,20
1595191718,11,9
1595193607,23,7
1595195529,33,19
1595197483,27,16
1595199368,36,6
1595201530,39,12
1595203697,37,8
1595205615,42,14
1595209449,11,39
1595211369,27,14
1595213318,15,12
1595215207,13,13
1595217127,16,8
1595219085,15,9
1595220970,13,18
1595222887,10,12
1595224850,11,9
1595227686,9,27
1595229605,17,15
1595231556,12,9
1595233451,12,9
1595235647,15,0
1595237564,13,14
1595239447,10,10
1595241404,9,15
1595243293,13,16
1595245237,8,16
1595247168,10,17
1595249054,9,14
1595250966,12,21
1595252918,18,22
1595254805,16,18
1595256761,18,13
1595258648,1,2
1595260567,21,3
1595262515,9,28
1595264411,11,18
1595268276,14,33
1595270165,13,18
1595272337,5,26
1595274247,6,13
1595276170,11,22
1595278085,10,14
1595281926,21,34
1595285764,18,37
1595287687,22,13
1595289648,18,14
1595291529,25,10
1595295604,19,26
1595297554,11,15
1595299449,16,13
1595303312,15,8
1595307124,21,26
1595309075,10,12
1595310964,12,17
1595312883,12,9
1595316728,8,26
1595320811,14,29
1595324646,12,28
1595326566,8,15
1595328512,13,15
1595330407,11,11
1595332326,22,11
1595334272,14,0
1595336167,16,38
1595338083,13,0
1595340036,21,22
1595341931,8,34
1595343852,15,0
1595345795,3,0
1595347702,2,19
1595349604,8,26
1595351556,11,18
1595353469,6,9
1595355369,10,20
1595359208,11,25
1595361156,26,20
1595363076,14,17
1595364972,21,11
1595366883,4,21
1595368813,18,15
1595370752,35,17
1595372648,19,18
1595374564,34,7
1595376513,28,17
1595378410,17,15
1595380327,15,8
1595382273,21,18
1595385009,15,25
1595389026,11,18
1595391440,16,0
1595393316,15,0
1595395205,14,13
1595397125,22,14
1595399088,23,12
1595400966,16,17
1595402884,21,16
1595404838,20,14
1595408648,21,23
1595410598,18,12
1595412487,20,17
1595414408,16,15
1595416359,9,13
1595418248,15,11
1595420170,17,21
1595422116,15,17
1595424005,12,23
1595425924,21,0
1595427874,3,16
1595429765,7,11
1595431731,3,8
1595433639,20,3
1595435524,20,9
1595438408,17,16
1595440332,5,8
1595442251,4,12
1595444198,17,8
1595446083,23,10
1595448016,27,13
1595449924,27,0
1595452093,19,8
1595454008,28,17
1595455962,20,32
1595457848,9,17
1595459774,14,12
1595461717,25,12
1595463607,14,15
1595465526,25,10
1595467476,10,0
1595469365,14,19
1595471286,25,18
1595473265,13,17
1595475124,11,5
1595477291,23,11
1595479212,22,17
1595481158,18,15
1595483048,21,15
1595484980,19,17
1595486917,14,15
1595488811,13,0
1595490726,13,14
1595492679,6,12
1595494578,34,15
1595496488,19,13
1595498435,23,14
1595500327,20,13
1595502248,15,19
1595504199,18,13
1595506091,18,10
1595508010,19,16
1595509957,21,11
1595511854,7,7
1595513774,3,21
1595515716,3,23
1595517624,25,30
1595519528,24,11
1595521531,7,0
1595525289,4,6
1595527235,20,4
1595529129,17,11
