DateTime,AddedIPs,RemovedIPs
1595168409,47,40
1595170367,49,42
1595172522,17,54
1595174411,16,19
1595178269,33,16
1595180206,42,27
1595182097,50,40
1595184014,46,52
1595185967,40,42
1595187854,58,47
1595189768,60,57
1595191718,58,58
1595193607,56,58
1595195529,60,55
1595197483,68,65
1595199368,63,63
1595201530,63,66
1595203697,77,63
1595205615,73,78
1595209449,55,72
1595211369,55,54
1595213318,59,56
1595215207,41,57
1595217127,49,40
1595219085,55,46
1595220970,46,59
1595222887,42,51
1595224850,42,38
1595227686,46,45
1595229605,50,47
1595231556,40,47
1595233451,27,42
1595235647,37,26
1595237564,35,33
1595239447,40,35
1595241404,42,42
1595243293,43,38
1595245237,35,40
1595247168,46,40
1595249054,38,48
1595250966,53,41
1595252918,46,53
1595254805,46,42
1595256761,54,47
1595258648,20,58
1595260567,48,20
1595262515,43,45
1595264411,54,40
1595268276,44,54
1595270165,40,47
1595272337,38,37
1595274247,53,42
1595276170,50,52
1595278085,53,50
1595281926,59,54
1595285764,51,57
1595287687,61,56
1595289648,57,57
1595291529,51,52
1595295604,60,52
1595297554,50,63
1595299449,57,49
1595303312,48,56
1595307124,58,49
1595309075,36,62
1595310964,44,33
1595312883,48,45
1595316728,30,46
1595320811,42,32
1595324646,43,40
1595326566,42,41
1595328512,53,46
1595330407,39,54
1595332326,66,38
1595334272,45,67
1595336167,51,44
1595338083,41,50
1595340036,44,44
1595341931,30,41
1595343852,46,31
1595345795,13,49
1595347702,17,15
1595349604,30,14
1595351556,20,28
1595353469,28,24
1595355369,28,26
1595359208,32,28
1595361156,51,28
1595363076,46,50
1595364972,56,47
1595366883,20,60
1595368813,54,20
1595370752,61,48
1595372648,54,63
1595374564,63,53
1595376513,48,65
1595378410,52,49
1595380327,53,54
1595382273,58,52
1595385009,52,56
1595389026,49,50
1595391440,59,50
1595393316,45,53
1595395205,57,49
1595397125,53,58
1595399088,56,56
1595400966,43,57
1595402884,57,46
1595404838,62,56
1595408648,58,57
1595410598,48,54
1595412487,55,52
1595414408,56,55
1595416359,31,59
1595418248,47,30
1595420170,60,47
1595422116,48,58
1595424005,43,53
1595425924,47,40
1595427874,11,49
1595429765,22,13
1595431731,17,22
1595433639,43,17
1595435524,45,42
1595438408,23,47
1595440332,17,20
1595442251,25,18
1595444198,55,23
1595446083,49,53
1595448016,56,50
1595449924,47,57
1595452093,43,43
1595454008,42,47
1595455962,41,42
1595457848,33,42
1595459774,53,33
1595461717,65,53
1595463607,49,62
1595465526,57,47
1595467476,58,59
1595469365,54,55
1595471286,61,58
1595473265,58,60
1595475124,47,53
1595477291,49,51
1595479212,57,43
1595481158,58,63
1595483048,70,59
1595484980,56,66
1595486917,47,56
1595488811,48,51
1595490726,34,52
1595492679,40,34
1595494578,65,38
1595496488,50,64
1595498435,60,51
1595500327,51,62
1595502248,55,51
1595504199,52,49
1595506091,59,51
1595508010,55,64
1595509957,57,52
1595511854,29,58
1595513774,17,33
1595515716,21,16
1595517624,47,24
1595519528,46,43
1595521531,16,46
1595525289,18,19
1595527235,51,17
1595529129,49,44
1595531312,53,51
1595533207,44,51
1595535157,43,44
1595537049,47,49
1595538972,50,43
1595540918,46,52
1595542813,55,44
1595546678,47,54
1595550483,45,50
1595552446,38,47
1595554325,25,34
1595556255,32,24
1595558196,35,33
1595560370,42,34
1595562253,42,45
1595564415,36,43
1595566330,49,32
1595568278,40,51
1595570165,46,39
1595573335,46,46
1595575206,63,49
1595577126,42,57
1595579075,36,49
1595580964,68,37
1595582884,53,65
1595584834,47,51
1595586725,65,50
1595588648,57,61
1595590592,48,55
1595592505,56,49
1595594411,53,60
1595596361,51,52
1595598246,46,51
1595600176,12,50
1595602116,21,14
1595604019,19,21
1595605928,26,17
1595607884,27,28
1595609774,49,24
1595611702,20,51
1595613684,29,21
1595615532,58,27
1595617696,60,54
1595619611,57,60
1595621555,53,59
1595623453,60,53
1595625370,60,57
1595627317,62,62
1595629211,60,66
1595631128,58,54
1595633076,51,53
1595634967,63,53
1595636885,52,63
1595638841,64,55
1595640726,54,62
1595642895,58,58
1595644809,54,60
1595647006,60,53
1595648889,56,61
1595650843,57,55
1595652729,46,55
1595656593,53,48
1595658487,58,51
1595660438,59,58
1595662335,55,59
1595664498,54,55
1595666413,49,55
1595668357,62,50
1595670251,58,61
1595672168,54,55
1595674117,60,54
1595676007,48,65
1595677943,55,48
1595679878,51,53
1595681766,53,45
1595683684,52,56
1595685640,54,50
1595687532,21,61
1595689714,20,23
1595691643,48,15
1595693545,24,52
1595695451,21,25
1595697403,28,22
1595699301,26,28
1595701228,25,24
1595703129,54,25
1595705080,42,49
1595706966,45,43
1595708887,49,47
1595710837,43,45
1595712729,45,47
1595714649,45,45
1595716600,42,43
1595718496,54,43
1595720410,38,50
1595722362,42,36
1595724250,41,47
1595726170,45,41
1595728119,37,48
1595730006,45,37
1595731927,43,46
1595733899,34,43
1595735766,41,31
1595737689,27,38
1595739643,44,29
1595741807,47,45
1595743698,54,43
1595745608,47,57
1595747561,38,44
1595749451,36,44
1595751616,36,37
1595753532,43,31
1595755482,34,47
1595757367,50,35
1595759285,27,48
1595761238,53,29
1595763128,45,50
1595765306,44,45
1595767242,42,43
1595771081,38,47
1595772978,14,37
1595774890,11,14
1595776840,11,12
1595778728,8,11
1595780648,14,8
1595782598,7,14
1595784484,16,7
1595786414,50,16
1595788363,50,48
1595790528,53,48
1595792406,54,50
1595794330,41,56
1595796280,35,44
1595798169,49,34
1595800089,36,48
1595802012,56,38
1595803932,42,54
1595805884,32,42
1595807764,49,33
1595809716,36,50
1595811612,59,36
1595813563,35,56
1595815450,38,37
1595817403,53,37
1595819292,50,53
1595821207,46,50
1595823161,47,47
1595825050,40,46
1595826993,39,39
1595828920,38,42
1595830806,43,38
1595832727,45,39
1595834679,43,48
1595836566,50,45
1595838484,31,47
1595840440,58,33
1595842328,49,54
1595844249,61,54
1595846197,41,58
1595848098,47,42
1595850038,46,46
1595851938,39,49
1595853880,31,39
1595855778,61,32
1595859636,34,60
1595861529,21,34
1595863477,13,22
1595865369,47,13
1595867285,14,47
1595869238,59,13
1595871130,56,58
1595873303,52,55
1595875209,58,51
1595877165,50,60
1595879051,43,52
1595880971,41,40
1595882921,38,44
1595884808,46,36
1595886728,53,44
1595888680,28,52
1595892486,34,30
1595894441,53,36
1595896331,53,49
1595898495,57,57
1595902362,55,59
1595904250,34,53
1595906171,53,33
1595908122,43,51
1595910007,48,43
1595911931,45,47
1595913881,48,50
1595915768,56,45
1595917687,37,55
1595919641,50,38
1595921528,50,50
1595923697,39,53
1595925610,45,37
1595927563,45,45
1595929450,40,42
1595931613,51,44
1595933529,58,49
1595935480,31,59
1595937365,56,31
1595939285,42,55
1595941240,52,44
1595943128,58,52
1595945083,46,58
1595947010,29,46
1595948908,37,30
1595950810,53,36
1595954650,10,55
1595956578,25,9
1595958524,28,25
1595960413,49,28
1595962333,61,48
1595964281,56,62
1595966168,64,56
1595968122,47,62
1595970012,62,47
1595971929,62,59
1595974140,57,60
1595976015,59,59
1595977932,58,58
1595979880,56,63
1595983687,59,54
1595985641,51,59
1595987531,60,50
1595989452,52,60
1595991399,63,49
1595993289,50,70
1595995228,53,46
1595997292,55,53
1595999331,59,52
1596001210,50,61
1596003129,51,48
1596005084,39,54
1596006969,48,41
1596008887,49,47
1596010841,41,49
1596012736,54,39
1596014652,54,55
1596016599,65,54
1596018487,39,67
1596020415,69,39
1596022340,48,64
1596024496,60,53
1596026419,59,59
1596030251,53,63
1596032168,38,52
1596034087,18,39
1596036009,43,17
1596037977,26,43
1596039850,25,27
1596041800,53,22
1596043751,36,55
1596045614,56,36
1596047591,61,54
1596049481,61,62
1596051368,68,60
1596053537,51,66
1596055456,36,53
1596057397,51,33
1596059295,53,54
1596061234,58,53
1596063129,58,54
1596065049,48,62
1596066998,47,45
1596068889,30,45
1596070838,63,33
1596072763,56,60
1596074655,52,54
1596076596,51,55
1596078502,47,51
1596080436,62,51
1596082329,71,60
1596084275,63,73
1596086171,70,66
1596088087,56,66
1596090040,65,53
1596091926,66,65
1596093854,62,67
1596095797,67,66
1596097694,44,68
1596099616,68,42
1596101567,64,66
1596103448,62,66
1596105376,57,58
1596107317,55,59
1596109216,56,53
1596111132,51,54
1596113092,60,57
1596114965,64,60
1596116891,60,62
1596118838,39,59
1596120735,47,41
1596122678,22,50
1596124597,40,19
1596126490,34,41
1596128421,35,36
1596130629,43,30
1596132494,27,47
1596134413,42,25
1596136392,45,44
1596138245,33,42
1596140229,32,36
1596142118,55,26
1596144021,60,60
1596145928,65,60
1596147877,63,64
1596149766,67,63
1596151929,67,62
1596153848,55,71
1596155795,65,56
1596157693,56,65
1596159606,57,55
1596161564,70,59
1596163446,64,67
1596165369,55,64
1596169205,59,58
1596171166,66,58
1596173048,63,64
1596174965,51,60
1596176924,61,54
1596178816,58,65
1596180727,57,53
1596182678,62,60
1596184568,36,64
1596186489,46,34
1596190327,47,47
