DateTime,AddedIPs,RemovedIPs
1595478619,0,1
1595479219,86,2
1595479519,2,0
1595480720,0,1
1595481618,8,0
1595484917,6,0
1595485218,5,0
1595487919,0,1
1595488818,4,0
1595492118,3,0
1595495119,26,0
1595495417,51,0
1595496017,2,0
1595498717,4,1
1595499017,16,0
1595499317,4,0
1595499618,1,0
1595502317,5,0
1595502617,7,0
1595503218,2,0
1595505920,1,0
1595506217,4,0
1595506521,3,0
1595506818,1,0
1595509817,2,0
1595510119,4,0
1595510418,4,0
1595513118,3,0
1595513418,2,0
1595513719,3,0
1595514017,2,0
1595516718,0,2
1595517017,3,0
1595517319,4,0
1595520319,0,1
1595520617,1,0
1595520919,4,0
1595523917,0,1
1595524217,1,0
1595524519,5,0
1595528119,1,0
1595528418,1,0
1595531719,1,0
1595532020,1,0
1595535320,3,0
1595538616,1,0
1595538919,1,0
1595541918,11,0
1595542218,89,0
1595545517,3,0
1595545818,22,0
1595546118,3,0
1595549120,1,0
1595549417,10,0
1595552718,0,1
1595553017,6,0
1595553318,2,0
1595556318,2,0
1595556617,6,0
1595556919,1,0
1595557217,1,0
1595560217,3,0
1595560818,6,0
1595563520,0,1
1595563817,2,0
1595564419,3,0
1595564717,6,0
1595567417,1,0
1595567718,1,0
1595568322,2,0
1595571320,1,0
1595572219,7,0
1595574319,1,0
1595574616,1,0
1595574921,0,4
1595575217,1,1
1595575518,4,0
1595578217,1,0
1595578820,1,0
1595579118,2,0
1595580321,1,0
1595581518,0,2
1595581819,4,0
1595582719,1,0
1595586018,3,0
1595586318,2,0
1595587220,0,1
1595587521,23,0
1595587818,6,0
1595589017,2,0
1595589321,3,0
1595589918,1,0
1595592320,0,1
1595592917,2,0
1595593519,2,0
1595596218,1,0
1595596518,2,0
1595596819,3,0
1595597117,1,0
1595599517,7,2
1595599818,3,0
1595600118,1,0
1595600417,1,0
1595600719,1,0
1595603417,1,0
1595604018,1,0
1595607018,3,0
1595607317,2,0
1595607917,2,0
1595610319,0,1
1595610922,7,0
1595611219,5,0
1595611518,1,0
1595614519,3,0
1595614817,2,0
1595615117,1,0
1595617220,1,0
1595617517,0,2
1595618117,3,1
1595618417,2,0
1595621120,11,2
1595621418,62,0
1595621718,1,0
1595624717,1,0
1595625018,15,0
1595625317,1,0
1595625618,1,0
1595628320,1,0
1595628617,3,0
1595628920,1,0
1595632217,5,0
1595632518,4,0
1595635518,1,0
1595635817,3,0
1595636118,1,0
1595636418,1,0
1595636720,1,0
1595639118,1,0
1595639419,3,0
1595639717,2,0
1595643318,2,0
1595646918,4,0
1595647218,1,0
1595650217,1,0
1595650817,2,0
1595653819,1,0
1595654119,3,0
1595657719,1,0
1595661019,1,0
1595661318,2,0
1595661618,1,0
1595664617,1,0
1595665217,2,0
1595672118,1,0
1595672718,15,0
1595675718,2,0
1595676018,2,0
1595676317,2,0
1595679319,1,0
1595679918,2,0
1595681716,0,1
1595682018,0,2
1595682320,0,1
1595682918,3,0
1595683517,1,0
1595685921,18,0
1595686518,6,0
1595687117,1,0
1595690118,3,0
1595690718,1,0
1595693718,3,0
1595694318,2,0
1595696718,0,2
1595697318,2,0
1595700618,2,0
1595701218,2,0
1595704520,1,0
1595708118,3,0
1595708418,1,0
1595711718,2,0
1595715320,1,0
1595718920,6,0
1595722517,3,0
1595723117,1,0
1595726117,2,0
1595729717,3,0
1595732720,0,1
1595733320,2,0
1595733617,1,0
1595736917,2,0
1595737218,1,0
1595739921,0,1
1595740517,2,0
1595744119,2,0
1595744726,12,0
1595745620,1,0
1595748018,1,0
1595748317,8,0
1595751017,0,2
1595751618,3,2
1595751917,7,0
1595754918,2,0
1595755217,2,0
1595755518,1,0
1595757921,12,0
1595758218,56,0
1595759119,1,0
1595761518,3,0
1595761816,11,0
1595762121,2,0
1595762718,2,0
1595765120,1,1
1595765718,11,0
1595766017,2,0
1595769018,2,0
1595769319,1,0
1595772319,2,0
1595772918,3,0
1595776218,2,0
1595779817,1,0
1595780118,1,0
1595780417,1,0
1595783117,1,0
1595783718,2,0
1595784017,1,0
1595787317,2,0
1595787617,1,0
1595790617,3,0
1595790919,2,0
1595794520,1,0
1595797818,4,0
1595798119,1,0
1595798417,1,0
1595798719,1,0
1595801118,12,0
1595801418,38,0
1595801721,1,0
1595802018,1,0
1595803218,18,0
1595804718,5,0
1595805016,9,0
1595805319,1,0
1595808318,1,0
1595808916,2,0
1595811918,1,1
1595812516,10,0
1595813118,1,0
1595815817,3,1
1595816418,1,0
1595819118,0,1
1595819718,1,0
1595820017,1,0
1595823018,2,0
1595823318,1,0
1595823617,1,0
1595826618,1,0
1595827521,12,0
1595828717,0,1
1595830217,2,0
1595830519,4,0
1595830818,1,0
1595831132,4,0
1595834716,1,0
1595837119,0,1
1595837718,1,0
1595838016,1,0
1595840717,0,1
1595841617,2,0
1595841920,1,0
1595844318,0,1
1595844617,1,0
1595844918,2,0
1595845218,1,0
1595846116,3,0
1595846419,0,1
1595847919,0,1
1595848518,0,3
1595848818,1,0
1595849116,1,0
1595852117,1,0
1595855417,4,0
1595855719,2,0
1595856016,2,0
1595856318,1,0
1595858116,0,1
1595858716,0,1
1595859317,1,0
1595862319,7,1
1595862617,31,0
1595863218,1,0
1595865917,0,1
1595866217,4,0
1595866818,5,0
1595868019,0,1
1595869518,1,1
1595869817,2,0
1595873117,1,0
1595873417,3,0
1595873719,4,0
1595874016,3,0
1595877321,2,0
1595877618,2,0
1595880617,1,0
1595880918,2,0
1595881217,1,0
1595884218,1,0
1595884519,1,0
1595884818,2,0
1595887520,1,0
1595887817,1,0
1595888417,3,0
1595889619,0,1
1595891416,1,0
1595891717,2,0
1595892018,2,0
1595895016,1,0
1595895321,1,0
1595898617,2,0
1595898917,2,0
1595902217,1,0
1595902817,1,0
1595906117,1,0
1595906417,2,0
1595909118,0,1
1595909717,3,0
1595910017,2,0
1595910318,23,0
1595910616,1,0
1595913316,1,0
1595913921,3,0
1595916317,0,1
1595916616,2,0
1595916921,2,0
1595920818,3,0
1595922916,0,5
1595923221,1,2
1595923817,1,1
1595924718,1,0
1595925317,0,2
1595928017,2,0
1595928616,1,0
1595932817,0,1
1595933119,0,1
1595934319,0,2
1595937920,0,1
1595938817,1,0
1595941519,24,0
1595941817,38,0
1595942118,1,0
1595945118,3,1
1595945417,5,0
1595946316,1,0
1595948718,1,1
1595949018,3,0
1595949319,1,0
1595952316,3,1
1595952616,4,0
1595953217,4,0
1595953517,1,0
1595955917,0,1
1595956217,3,0
1595956518,4,0
1595956817,1,0
1595957117,3,0
1595958916,0,3
1595959519,1,0
1595959817,2,0
1595960119,1,0
1595963117,1,0
1595963417,1,0
1595967317,3,0
1595967617,1,0
1595970617,1,0
1595970918,3,0
1595974517,1,0
1595974817,1,0
1595977818,1,0
1595978121,2,0
1595978418,2,0
1595981717,2,0
1595985016,2,0
1595985919,1,0
1595988618,1,0
1595988918,1,0
1595989217,2,0
1595991917,0,1
1595992518,3,0
1595992817,1,0
1595995816,1,0
1595996117,1,0
1595996718,20,0
1595997316,11,0
1595998218,7,0
1595999417,1,0
1595999717,1,0
1596000016,1,0
1596006617,1,0
1596007517,2,0
1596010520,1,0
1596011116,1,0
1596013518,0,1
1596014417,1,0
1596014717,1,0
1596015617,0,3
1596017416,1,0
1596018016,1,0
1596018318,1,0
1596019218,0,1
1596019818,0,1
1596020719,13,0
1596021319,89,0
1596024321,2,1
1596024619,14,0
1596024917,1,0
1596025217,1,0
1596026718,13,0
1596027919,1,0
1596028216,8,0
1596028517,1,0
1596028818,1,0
1596031816,3,0
1596035417,1,0
1596035718,1,0
1596036317,1,0
1596039017,1,0
1596039319,1,0
1596042616,1,0
1596045316,16,0
1596045619,1,0
1596045917,1,0
1596046817,20,1
1596049816,1,0
1596053117,1,0
1596053717,1,0
1596054016,1,0
1596057016,1,0
1596057318,1,0
1596061216,2,0
1596064217,1,0
1596064516,2,0
