DateTime,AddedIPs,RemovedIPs
1595664519,74,83
1595665203,11,10
1595666046,48,90
1595667126,18,16
1595667484,38,61
1595669073,16,7
1595669104,63,93
1595669645,26,75
1595670964,22,13
1595672116,117,117
1595673130,23,486
1595673244,45,94
1595675293,232,0
1595676068,148,136
1595677214,38,97
1595678173,69,54
1595679160,22,9
1595679607,42,110
1595681052,21,6
1595681209,70,193
1595682965,27,11
1595683811,0,254
1595684044,125,173
1595684919,23,10
1595686804,19,7
1595687644,131,190
1595688731,21,4
1595688902,282,28
1595690645,17,10
1595690694,70,90
1595691244,31,84
1595692570,13,8
1595694056,107,85
1595694512,12,5
1595694844,1054,334
1595696409,25,6
1595698356,14,13
1595698444,150,165
1595700250,19,8
1595700995,104,68
1595702196,19,8
1595704098,118,105
1595705104,70,46
1595706008,9,13
1595707962,95,184
1595708705,56,8
1595709847,38,88
1595711774,24,8
1595712847,157,159
1595713719,17,261
1595715610,17,11
1595715906,130,80
1595717530,12,7
1595719484,240,78
1595720044,135,168
1595721365,7,9
1595721929,251,0
1595723580,7,6
1595724569,215,181
1595725448,4,13
1595727404,17,5
1595729294,180,199
1595731215,43,6
1595731808,73,112
1595733163,6,7
1595734444,142,160
1595735052,5,6
1595736969,10,8
1595738926,149,127
1595740804,10,12
1595741644,153,141
1595742732,8,10
1595742850,100,26
1595744684,6,7
1595745246,64,102
1595746572,6,10
1595746757,77,98
1595748483,4,18
1595748844,96,93
1595750446,8,14
1595751188,129,79
1595752325,5,10
1595752445,57,60
1595754502,269,7
1595756410,215,144
1595758368,12,543
1595759643,181,143
1595760249,15,18
1595760979,78,28
1595762173,297,0
1595762231,58,166
1595763244,58,194
1595764120,12,4
1595765068,138,206
1595766255,13,8
1595766844,47,81
1595768166,11,9
1595768863,97,97
1595770089,20,2
1595770444,47,88
1595772004,8,4
1595772952,121,80
1595773965,8,4
1595774043,39,70
1595775855,6,9
1595777773,189,96
1595778604,102,88
1595779723,1541,1028
1595781614,116,130
1595783529,10,23
1595783906,158,115
1595784843,57,1199
1595785484,9,10
1595787369,9,16
1595787904,147,547
1595789292,13,19
1595791236,67,515
1595793129,100,387
1595794512,145,264
1595795045,10,10
1595795644,139,171
1595797002,13,15
1595797428,142,142
1595798885,9,18
1595799243,132,71
1595800813,14,14
1595801603,128,92
1595802854,86,84
1595803942,48,26
1595804661,240,0
1595805905,109,69
1595806602,6,8
1595808500,37,76
1595810446,192,160
1595811152,85,34
1595812583,10,4
1595813105,78,67
1595813646,23,88
1595814489,5,7
1595815220,251,256
1595816419,73,34
1595817244,97,124
1595818330,2,4
1595818393,47,21
1595820285,7,7
1595820304,86,75
1595822165,6,6
1595822932,114,140
1595824090,5,12
1595824444,72,63
1595826042,10,23
1595826380,54,15
1595827136,52,44
1595827928,11,16
1595829004,62,85
1595829849,12,8
1595830130,39,46
1595831803,11,17
1595833691,122,111
1595835244,108,125
1595835614,10,16
1595836720,153,57
1595837558,7,8
1595838182,52,5
1595838844,26,64
1595839452,6,9
1595840634,114,29
1595841393,9,21
1595841491,89,36
1595842444,37,109
1595843322,11,11
1595844324,83,86
1595845204,10,571
1595846044,101,79
1595847131,13,14
1595847398,67,19
1595849047,179,0
1595849106,69,56
