DateTime,AddedIPs,RemovedIPs
1595698321,1,0
1595698382,2,0
1595699521,2,0
1595700121,2,0
1595700721,1,0
1595701321,6,0
1595701981,1,0
1595702521,5,0
1595703122,1,0
1595704321,1,0
1595704921,1,0
1595706121,3,0
1595707322,3,0
1595707921,1,0
1595708521,2,0
1595709121,1,0
1595711521,5,0
1595712721,5,0
1595713321,1,0
1595714521,1,0
1595715121,2,0
1595715721,1,0
1595716382,1,0
1595716922,3,0
1595721722,1,0
1595722921,2,1
1595724121,4,0
1595724722,1,1
1595725921,3,0
1595727721,1,0
1595728321,1,0
1595728922,3,0
1595730121,3,0
1595731321,1,0
1595732521,2,0
1595733121,2,0
1595734921,2,0
1595736121,2,0
1595737321,1,0
1595739721,1,0
1595740921,1,0
1595741581,1,0
1595743322,6,0
1595745721,1,0
1595746921,1,0
1595749321,4,0
1595751121,4,0
1595751722,1,0
1595752381,3,0
1595752921,3,0
1595753521,2,0
1595755321,2,0
1595755981,1,0
1595756522,1,0
1595757721,3,0
1595758321,2,0
1595758921,2,0
1595759521,1,0
1595761321,1,0
1595761921,1,0
1595762522,2,0
1595763721,2,1
1595764921,1,0
1595765521,2,0
1595766121,1,0
1595766721,1,0
1595768521,1,0
1595769121,2,0
1595770321,2,0
1595771522,2,0
1595772121,2,0
1595775721,1,0
1595776321,1,0
1595778122,2,0
1595779921,2,0
1595780521,4,0
1595781122,1,0
1595781181,1,0
1595782321,1,0
1595784121,4,0
1595785322,3,0
1595786521,2,0
1595787721,3,0
1595788322,1,0
1595790122,5,0
1595791322,3,0
1595793121,1,0
1595793721,1,0
1595794321,3,0
1595794922,2,0
1595796121,15,1
1595796721,1,0
1595797921,1,0
1595800921,1,0
1595801521,0,1
1595802721,1,0
1595803921,1,0
1595805121,3,0
1595805721,2,0
1595806382,1,0
1595807521,1,0
1595808122,1,1
1595808721,1,0
1595810521,2,0
1595811722,2,0
1595812321,3,0
1595812922,3,0
1595813521,1,0
1595814121,2,0
1595815921,1,0
1595817182,1,0
1595818322,1,0
1595818921,1,0
1595820122,2,0
1595821321,4,0
1595822521,2,1
1595824921,3,0
1595826121,3,0
1595827321,1,0
1595829121,1,0
1595831581,6,0
1595832121,2,0
1595833321,1,0
1595833921,1,0
1595834522,0,1
1595835722,1,0
1595836921,2,0
1595839921,1,0
1595841722,2,0
1595842321,1,0
1595842921,3,0
1595843521,1,0
1595845321,1,0
1595846521,3,0
1595847722,1,0
1595848321,2,0
1595849521,1,0
1595849582,1,0
1595850721,2,0
1595853721,2,0
1595854321,2,0
1595854921,2,0
1595855522,1,0
1595856781,2,0
1595858521,3,0
1595859122,4,0
1595860921,2,0
1595862121,2,0
1595862721,1,0
1595863982,4,0
1595865721,2,0
1595866321,3,0
1595866921,3,0
1595867581,2,0
1595868721,1,0
1595869321,1,0
1595870521,5,0
1595871121,2,0
1595871721,3,1
1595872321,3,0
1595872921,3,0
1595874121,1,0
1595874721,1,0
1595875321,1,0
1595876521,9,0
1595877121,1,0
1595877721,1,0
1595878322,1,0
1595878382,1,0
1595878922,2,0
1595879522,3,0
1595880122,6,0
1595881322,5,0
1595881921,3,0
1595883721,1,0
1595884921,1,0
1595885521,1,0
1595886122,1,0
1595887321,1,0
1595888522,3,0
1595890921,2,0
1595892122,1,0
1595893322,2,1
1595894521,3,0
1595895721,4,0
1595896321,0,1
1595896921,1,0
1595898121,2,0
1595899321,3,0
1595902921,1,0
1595905321,1,0
1595906521,7,0
1595908922,1,0
1595910121,2,0
1595911321,4,0
1595912521,3,0
1595913721,5,0
1595914921,2,0
1595916121,4,0
1595917322,5,0
1595918521,7,0
1595919721,1,0
1595920322,2,0
1595920921,1,1
1595922121,3,0
1595923322,2,0
1595924521,2,0
1595925721,2,0
1595926921,2,0
1595928121,2,0
1595929321,5,0
1595930521,3,0
1595931122,1,0
1595931722,2,0
1595932921,3,0
1595934121,7,1
1595934721,1,0
1595935322,2,0
1595935982,6,0
1595936521,1,0
1595937721,3,0
1595938921,6,0
1595939582,1,0
1595940121,2,0
1595941322,5,1
1595942521,2,0
1595943121,1,0
1595943721,1,0
1595944921,2,0
1595946122,1,0
1595946781,1,0
1595947921,4,0
1595949721,2,0
1595950922,3,0
1595951521,1,0
1595952721,1,0
1595953321,2,0
1595953981,1,0
1595954521,2,0
1595955122,3,0
1595955721,1,0
1595956922,1,0
1595958121,3,0
1595959321,4,0
1595960522,3,0
1595961722,6,0
1595962321,1,0
1595962921,2,0
1595964121,5,0
1595965321,1,1
1595965921,6,0
1595966521,3,0
1595967122,2,0
1595967721,3,0
1595968922,7,0
1595970122,6,0
1595970721,1,0
1595971321,2,0
1595971981,1,0
1595972521,3,1
1595972522,6,0
1595973722,4,0
1595974921,1,0
1595976122,3,0
