DateTime,AddedIPs,RemovedIPs
1595222886,82,56
1595224849,120,48
1595226818,75,51
1595228679,40,45
1595230567,43,46
1595232491,43,47
1595234436,63,68
1595236328,80,54
1595238277,56,35
1595240166,54,3123
1595242114,78,92
1595244010,1386,0
1595245927,94,51
1595247879,134,56
1595249764,82,109
1595251691,75,61
1595253642,62,54
1595255533,66,33
1595257484,101,40
1595259367,81,76
1595261291,60,79
1595263239,87,77
1595265137,55,40
1595267050,71,56
1595268994,113,38
1595270886,75,81
1595272810,77,62
1595274753,60,38
1595276652,61,28
1595278592,91,55
1595280484,89,34
1595282415,72,80
1595284323,60,71
1595286496,1183,1
1595288411,69,69
1595290361,76,28
1595292248,55,76
1595294411,60,79
1595296329,45,38
1595298277,37,34
1595300166,58,36
1595302086,50,39
1595304044,74,87
1595305928,47,54
1595307858,47,46
1595309795,51,56
1595311696,53,29
1595313608,86,72
1595315556,51,52
1595317447,54,42
1595319367,55,32
1595321313,31,49
1595323212,66,34
1595326096,81,3503
1595328006,69,58
1595329956,1582,0
1595331844,67,67
1595333766,107,127
1595335707,73,69
1595337605,77,44
1595339524,96,47
1595341475,70,25
1595343363,68,122
1595345533,72,120
1595347445,74,44
1595349399,94,61
1595351289,61,46
1595353210,78,105
1595355152,63,113
1595357045,58,53
1595358964,63,50
1595360912,104,39
1595362802,85,43
1595364725,65,73
1595366647,63,83
1595368593,79,62
1595370480,52,52
1595372418,1411,0
1595374351,50,35
1595376250,43,79
1595378165,63,89
1595380119,54,43
1595382006,62,30
1595383962,71,34
1595385854,43,48
1595387782,46,125
1595389697,75,68
1595392179,80,50
1595394047,87,48
1595395925,71,78
1595398090,80,103
1595400009,78,70
1595401953,53,43
1595403843,73,34
1595405768,93,47
1595407713,66,61
1595409605,46,83
1595411525,71,57
1595413475,54,3154
1595415364,110,80
1595417286,1369,0
1595419232,73,107
1595421123,70,64
1595423369,82,56
1595425207,85,46
1595427156,96,34
1595429048,62,55
1595431011,54,52
1595432886,60,62
1595434803,71,47
1595436751,103,55
1595438645,76,47
1595440588,105,57
1595442484,45,77
1595444402,72,45
1595446351,91,76
1595448245,70,52
1595450193,74,45
1595452091,63,44
1595454005,76,67
1595455960,87,70
1595457848,70,58
1595459774,1175,0
1595461717,63,57
1595463607,44,63
1595465526,66,46
1595467476,63,29
1595469365,57,44
1595471285,47,36
1595473264,44,45
1595475124,42,49
1595477291,69,59
1595479212,70,43
1595481157,59,42
1595483047,48,37
1595484979,61,68
1595486917,52,58
1595488810,61,63
1595490725,42,49
1595492678,54,36
1595494577,76,39
1595496487,43,58
1595498434,73,3262
1595500326,54,60
1595502246,1494,0
1595504198,95,76
1595506090,117,47
1595508009,77,65
1595509955,66,56
1595511853,49,61
1595513773,73,80
1595515715,78,42
1595517623,72,48
1595519526,58,73
1595521529,63,66
1595523419,40,77
1595525287,60,62
1595527233,82,85
1595529128,79,57
1595531310,109,71
1595533205,63,62
1595535155,64,90
1595537047,95,61
1595538970,83,54
1595540915,69,55
1595542810,97,71
1595544726,49,87
1595546678,1328,0
1595548566,68,54
1595550484,48,47
1595552446,51,46
1595554325,57,42
1595556255,33,71
1595558196,58,40
1595560370,59,39
1595562253,61,59
1595564415,72,62
1595566330,31,64
1595568277,46,53
1595570165,55,84
1595572402,60,61
1595574250,57,50
1595576193,75,70
1595578091,59,67
1595580008,67,71
1595581958,45,49
1595583848,42,45
1595586015,66,3161
1595587928,72,56
1595589886,1367,0
1595591764,103,66
1595593682,87,44
1595595633,88,82
1595597591,68,56
1595599695,72,57
1595601608,80,69
1595603560,71,36
1595605448,81,47
1595607370,73,73
1595609319,119,60
1595611205,65,61
1595613127,85,56
1595615154,79,70
1595616963,62,63
1595618882,75,41
1595620834,98,53
1595622753,68,67
1595624892,53,80
1595626804,72,41
1595628755,78,73
1595630648,136,41
1595632569,1191,0
1595634518,48,49
1595636405,34,38
1595638325,62,55
1595640276,53,50
1595642163,66,44
1595644083,31,46
1595646038,64,43
1595647928,42,35
1595649874,54,49
1595651767,77,55
1595653717,59,53
1595655612,74,46
1595657562,35,53
1595659450,44,50
1595661366,53,56
1595663310,91,51
1595665203,52,45
1595667126,60,75
1595669073,40,46
1595670964,67,71
1595673130,71,3041
1595675293,1377,0
1595677214,89,91
1595679160,67,48
1595681052,115,55
1595682965,106,59
1595684919,80,54
1595686804,69,40
1595688731,63,59
1595690645,64,56
1595692570,93,65
1595694512,74,47
1595696409,107,44
1595698356,64,49
1595700250,62,52
1595702196,88,61
1595704098,83,56
1595706008,79,66
1595707962,80,65
1595709847,89,60
