DateTime,Entries,UniqueIPs
1595222886,6535,6535
1595224849,6607,6607
1595226818,6631,6631
1595228679,6626,6626
1595230567,6623,6623
1595232491,6619,6619
1595234436,6614,6614
1595236328,6640,6640
1595238277,6661,6661
1595240166,3592,3592
1595242114,3578,3578
1595244010,4964,4964
1595245927,5007,5007
1595247879,5085,5085
1595249764,5058,5058
1595251691,5072,5072
1595253642,5080,5080
1595255533,5113,5113
1595257484,5174,5174
1595259367,5179,5179
1595261291,5160,5160
1595263239,5170,5170
1595265137,5185,5185
1595267050,5200,5200
1595268994,5275,5275
1595270886,5269,5269
1595272810,5284,5284
1595274753,5306,5306
1595276652,5339,5339
1595278592,5375,5375
1595280484,5430,5430
1595282415,5422,5422
1595284323,5411,5411
1595286496,6593,6593
1595288411,6593,6593
1595290361,6641,6641
1595292248,6620,6620
1595294411,6601,6601
1595296329,6608,6608
1595298277,6611,6611
1595300166,6633,6633
1595302086,6644,6644
1595304044,6631,6631
1595305928,6624,6624
1595307858,6625,6625
1595309795,6620,6620
1595311696,6644,6644
1595313608,6658,6658
1595315556,6657,6657
1595317447,6669,6669
1595319367,6692,6692
1595321313,6674,6674
1595323212,6706,6706
1595326096,3284,3284
1595328006,3295,3295
1595329956,4877,4877
1595331844,4877,4877
1595333766,4857,4857
1595335707,4861,4861
1595337605,4894,4894
1595339524,4943,4943
1595341475,4988,4988
1595343363,4934,4934
1595345533,4886,4886
1595347445,4916,4916
1595349399,4949,4949
1595351289,4964,4964
1595353210,4937,4937
1595355152,4887,4887
1595357045,4892,4892
1595358964,4905,4905
1595360912,4970,4970
1595362802,5012,5012
1595364725,5004,5004
1595366647,4984,4984
1595368593,5001,5001
1595370480,5001,5001
1595372418,6412,6412
1595374351,6427,6427
1595376250,6391,6391
1595378165,6365,6365
1595380119,6376,6376
1595382006,6408,6408
1595383962,6445,6445
1595385854,6440,6440
1595387782,6361,6361
1595389697,6368,6368
1595392179,6398,6398
1595394047,6437,6437
1595395925,6430,6430
1595398090,6407,6407
1595400009,6415,6415
1595401953,6425,6425
1595403843,6464,6464
1595405768,6510,6510
1595407713,6515,6515
1595409605,6478,6478
1595411525,6492,6492
1595413475,3392,3392
1595415364,3422,3422
1595417286,4791,4791
1595419232,4757,4757
1595421123,4763,4763
1595423369,4789,4789
1595425207,4828,4828
1595427156,4890,4890
1595429048,4897,4897
1595431011,4899,4899
1595432886,4897,4897
1595434803,4921,4921
1595436751,4969,4969
1595438645,4998,4998
1595440588,5046,5046
1595442484,5014,5014
1595444402,5041,5041
1595446351,5056,5056
1595448245,5074,5074
1595450193,5103,5103
1595452091,5122,5122
1595454005,5131,5131
1595455960,5148,5148
1595457848,5160,5160
1595459774,6335,6335
1595461717,6341,6341
1595463607,6322,6322
1595465526,6342,6342
1595467476,6376,6376
1595469365,6389,6389
1595471285,6400,6400
1595473264,6399,6399
1595475124,6392,6392
1595477291,6402,6402
1595479212,6429,6429
1595481157,6446,6446
1595483047,6457,6457
1595484979,6450,6450
1595486917,6444,6444
1595488810,6442,6442
1595490725,6435,6435
1595492678,6453,6453
1595494577,6490,6490
1595496487,6475,6475
1595498434,3286,3286
1595500326,3280,3280
1595502246,4774,4774
1595504198,4793,4793
1595506090,4863,4863
1595508009,4875,4875
1595509955,4885,4885
1595511853,4873,4873
1595513773,4866,4866
1595515715,4902,4902
1595517623,4926,4926
1595519526,4911,4911
1595521529,4908,4908
1595523419,4871,4871
1595525287,4869,4869
1595527233,4866,4866
1595529128,4888,4888
1595531310,4926,4926
1595533205,4927,4927
1595535155,4901,4901
1595537047,4935,4935
1595538970,4964,4964
1595540915,4978,4978
1595542810,5004,5004
1595544726,4966,4966
1595546678,6294,6294
1595548566,6308,6308
1595550484,6309,6309
1595552446,6314,6314
1595554325,6329,6329
1595556255,6291,6291
1595558196,6309,6309
1595560370,6329,6329
1595562253,6331,6331
1595564415,6341,6341
1595566330,6308,6308
1595568277,6301,6301
1595570165,6272,6272
1595572402,6271,6271
1595574250,6278,6278
1595576193,6283,6283
1595578091,6275,6275
1595580008,6271,6271
1595581958,6267,6267
1595583848,6264,6264
1595586015,3169,3169
1595587928,3185,3185
1595589886,4552,4552
1595591764,4589,4589
1595593682,4632,4632
1595595633,4638,4638
1595597591,4650,4650
1595599695,4665,4665
1595601608,4676,4676
1595603560,4711,4711
1595605448,4745,4745
1595607370,4745,4745
1595609319,4804,4804
1595611205,4808,4808
1595613127,4837,4837
1595615154,4846,4846
1595616963,4845,4845
1595618882,4879,4879
1595620834,4924,4924
1595622753,4925,4925
1595624892,4898,4898
1595626804,4929,4929
1595628755,4934,4934
1595630648,5029,5029
1595632569,6220,6220
1595634518,6219,6219
1595636405,6215,6215
1595638325,6222,6222
1595640276,6225,6225
1595642163,6247,6247
1595644083,6232,6232
1595646038,6253,6253
1595647928,6260,6260
1595649874,6265,6265
1595651767,6287,6287
1595653717,6293,6293
1595655612,6321,6321
1595657562,6303,6303
1595659450,6297,6297
1595661366,6294,6294
1595663310,6334,6334
1595665203,6341,6341
1595667126,6326,6326
1595669073,6320,6320
1595670964,6316,6316
1595673130,3346,3346
1595675293,4723,4723
1595677214,4721,4721
1595679160,4740,4740
1595681052,4800,4800
1595682965,4847,4847
1595684919,4873,4873
1595686804,4902,4902
1595688731,4906,4906
1595690645,4914,4914
1595692570,4942,4942
1595694512,4969,4969
1595696409,5032,5032
1595698356,5047,5047
1595700250,5057,5057
1595702196,5084,5084
1595704098,5111,5111
1595706008,5124,5124
1595707962,5139,5139
1595709847,5168,5168
1595711774,5208,5208
1595713719,5245,5245
1595715610,5261,5261
1595717530,5279,5279
1595719484,6443,6443
1595721365,6444,6444
1595723580,6446,6446
1595725448,6446,6446
1595727404,6574,6574
1595729294,6562,6562
1595731215,6584,6584
1595733163,6588,6588
1595735052,6606,6606
1595736969,6605,6605
1595738926,6629,6629
1595740804,6625,6625
1595742732,6630,6630
1595744684,6626,6626
1595746572,6627,6627
1595748483,6590,6590
1595750446,6577,6577
1595752325,6559,6559
1595754502,6543,6543
1595756410,6555,6555
1595758368,3373,3373
1595760249,3371,3371
1595762173,4726,4726
1595764120,4745,4745
1595766255,4781,4781
1595768166,4795,4795
1595770089,4818,4818
1595772004,4811,4811
1595773965,4851,4851
1595775855,4864,4864
1595777773,4896,4896
1595779723,4922,4922
1595781614,4912,4912
1595783529,4896,4896
1595785484,4908,4908
1595787369,4945,4945
1595789292,4949,4949
1595791236,4967,4967
1595793129,4972,4972
1595795045,4966,4966
1595797002,4984,4984
1595798885,5004,5004
1595800813,5047,5047
1595802854,5064,5064
1595804661,6243,6243
1595806602,6280,6280
1595808500,6303,6303
1595810446,6319,6319
1595812583,6338,6338
1595814489,6333,6333
1595816419,6340,6340
1595818330,6360,6360
1595820285,6374,6374
1595822165,6382,6382
1595824090,6403,6403
1595826042,6388,6388
1595827928,6375,6375
1595829849,6400,6400
1595831803,6417,6417
1595833691,6429,6429
1595835614,6393,6393
1595837558,6384,6384
1595839452,6383,6383
1595841393,6384,6384
1595843322,6386,6386
1595845204,3243,3243
1595847131,3255,3255
1595849047,4484,4484
1595850970,4524,4524
1595852882,4523,4523
1595854810,4531,4531
1595856755,4502,4502
1595858649,4480,4480
1595860567,4607,4607
1595862770,4644,4644
1595864647,4653,4653
1595866818,4668,4668
1595868726,4707,4707
1595870679,4794,4794
1595872563,4847,4847
1595874485,4892,4892
1595876436,4927,4927
1595878329,4993,4993
1595880489,5050,5050
1595882408,5157,5157
1595884355,5220,5220
1595886247,5278,5278
1595888410,5325,5325
1595890326,5362,5362
1595892280,6392,6392
1595894164,6433,6433
1595896086,6467,6467
1595898043,6503,6503
1595899926,6524,6524
1595902091,6570,6570
1595904007,6598,6598
1595905958,6621,6621
1595907845,6657,6657
1595909769,6695,6695
1595911719,6777,6777
1595913605,6819,6819
1595915525,6854,6854
1595917479,6888,6888
1595919364,6953,6953
1595921282,7025,7025
1595923234,7087,7087
1595925124,7114,7114
1595927049,7159,7159
1595928998,7196,7196
1595930886,4178,4178
1595932807,4194,4194
1595934758,5599,5599
1595936646,5598,5598
1595938812,5622,5622
1595940724,5638,5638
1595942680,5659,5659
1595944571,5719,5719
1595947008,5734,5734
1595948906,5715,5715
1595950809,5769,5769
1595952762,5777,5777
1595954648,5802,5802
1595956576,5833,5833
1595958522,5848,5848
1595960411,5861,5861
1595962330,5879,5879
1595964279,5911,5911
1595966166,5921,5921
1595968120,5955,5955
1595970010,5999,5999
1595971927,6045,6045
1595974137,6065,6065
1595976015,6089,6089
1595977932,7334,7334
1595979880,7325,7325
1595981766,7338,7338
1595983687,7355,7355
1595985641,7358,7358
1595987530,7394,7394
1595989452,7420,7420
1595991399,7431,7431
1595993289,7441,7441
1595995228,7454,7454
1595997292,7445,7445
1595999330,7455,7455
1596001210,7455,7455
1596003129,7444,7444
1596005084,7451,7451
1596006968,7462,7462
1596008886,7461,7461
1596010840,7464,7464
1596012735,7465,7465
1596014651,7464,7464
1596016598,7447,7447
1596018486,3478,3478
1596020414,5381,5381
1596022339,5377,5377
1596024495,5390,5390
1596026418,5365,5365
1596028361,5381,5381
1596030249,5368,5368
1596032166,5380,5380
1596034085,5394,5394
1596036007,5421,5421
1596037975,5388,5388
1596039849,5366,5366
1596041799,5313,5313
1596043749,5314,5314
1596045612,5309,5309
1596047589,5312,5312
1596049480,5289,5289
1596051366,5243,5243
1596053535,5231,5231
1596055454,5255,5255
1596057394,5235,5235
1596059293,5230,5230
1596061231,5194,5194
1596063129,5160,5160
1596065049,6842,6842
1596066998,6836,6836
1596068889,6834,6834
1596070838,6828,6828
1596072763,6819,6819
1596074655,6821,6821
1596076595,6821,6821
1596078501,6812,6812
1596080436,6776,6776
1596082329,6753,6753
1596084274,6690,6690
1596086170,6664,6664
1596088086,6642,6642
1596090040,6633,6633
1596091926,6605,6605
1596093853,6579,6579
1596095796,6540,6540
1596097693,6534,6534
1596099615,6527,6527
1596101566,6519,6519
1596103447,3189,3189
1596105374,3190,3190
1596107315,4616,4616
1596109215,4648,4648
1596111131,4663,4663
1596113090,4679,4679
1596114964,4692,4692
1596116890,4717,4717
1596118836,4703,4703
1596120734,4677,4677
1596122677,4692,4692
1596124596,4694,4694
1596126488,4708,4708
1596128419,4780,4780
1596130627,4846,4846
1596132493,4884,4884
1596134412,4935,4935
1596136390,4994,4994
1596138243,5029,5029
1596140227,5059,5059
1596142116,5082,5082
1596144019,5132,5132
1596145926,5155,5155
1596147875,5168,5168
1596149766,5189,5189
1596151929,6406,6406
1596153847,6407,6407
1596155795,6430,6430
1596157693,6439,6439
1596159606,6458,6458
1596161563,6445,6445
1596163446,6435,6435
1596165368,6438,6438
1596167320,6453,6453
1596169205,6459,6459
1596171166,6486,6486
1596173047,6489,6489
1596174964,6500,6500
