DateTime,AddedIPs,RemovedIPs
1595755922,5,0
1595756522,5,29
1595757721,11,17
1595758321,13,32
1595758921,18,0
1595759521,10,20
1595760121,15,14
1595761321,16,17
1595761921,10,20
1595762522,22,0
1595763121,9,24
1595763721,10,31
1595764321,21,0
1595764921,13,38
1595765521,20,24
1595766121,21,5
1595766721,12,0
1595767321,11,0
1595767921,5,6
1595768521,5,15
1595769722,16,7
1595770321,15,0
1595770921,17,33
1595771522,14,18
1595772121,15,0
1595772721,12,17
1595773322,15,0
1595774521,17,40
1595775721,7,11
1595776321,7,6
1595776921,7,33
1595778122,18,32
1595778721,17,11
1595779921,15,55
1595780521,21,0
1595781122,6,9
1595781721,17,0
1595782921,11,13
1595784121,17,61
1595785322,23,23
1595786521,13,29
1595787721,16,15
1595788322,9,0
1595788921,9,0
1595790122,26,44
1595791322,21,26
1595791921,10,0
1595792521,22,0
1595793121,16,19
1595793721,9,40
1595794321,23,0
1595794922,25,22
1595795521,10,0
1595796121,12,33
1595797321,12,24
1595798521,6,14
1595799721,23,20
1595800921,14,27
1595802121,26,22
1595802721,10,0
1595803321,6,5
1595803921,4,16
1595804521,16,44
1595805121,20,22
1595805721,23,0
1595806921,14,27
1595808122,28,8
1595808721,18,0
1595809321,15,0
1595810521,14,14
1595811722,21,26
1595812321,10,0
1595812922,21,21
1595813521,20,22
1595814121,19,45
1595815321,23,0
1595815921,10,8
1595816522,8,0
1595817722,8,8
1595818322,8,12
1595818921,18,0
1595820122,31,26
1595821321,26,15
1595822521,15,41
1595823722,10,18
1595824921,18,34
1595826121,16,8
1595827321,14,0
1595828522,14,48
1595829121,27,0
1595829721,13,21
1595830321,13,17
1595831521,18,0
1595832121,12,15
1595832722,16,0
1595833921,15,10
1595834522,11,35
1595835722,27,8
1595836921,12,2
1595838121,15,9
1595838721,7,0
1595839321,8,28
1595839921,16,0
1595840522,24,15
1595841722,12,12
1595842321,17,6
1595842921,25,0
1595843521,27,5
1595844121,10,0
1595844721,3,10
1595845321,15,28
1595846521,20,18
1595847121,8,31
1595847722,14,10
1595848321,12,9
1595848922,14,0
1595849521,8,26
1595850721,11,20
1595851321,13,0
1595851922,15,21
1595853121,15,22
1595853721,11,8
1595854321,11,0
1595854921,23,23
1595855522,10,8
1595856721,27,20
1595857921,18,35
1595858521,29,0
1595859122,24,64
1595859721,21,0
1595860921,10,8
1595862121,13,0
1595862721,7,60
1595863921,9,16
1595864521,21,13
1595865721,26,0
1595866321,23,13
1595866921,30,12
1595867521,11,17
1595868721,13,0
1595869321,10,0
1595870521,27,13
1595871121,19,10
1595871721,20,0
1595872321,15,18
1595872921,17,10
1595874121,13,5
1595874721,11,0
1595875321,6,13
1595875921,7,5
1595876521,1,0
1595877121,7,16
1595877721,15,0
1595878322,19,16
1595878922,16,39
1595879522,22,11
1595880122,23,0
1595880721,25,46
1595881322,10,9
1595882521,12,0
1595883721,8,23
1595884321,7,9
1595885521,9,12
1595886122,11,17
1595887321,18,7
1595888522,17,0
1595889721,4,19
1595890921,7,34
1595892122,13,53
1595893322,12,0
1595894521,29,17
1595895721,23,46
1595896321,6,5
1595896921,7,14
1595898121,10,0
1595899321,12,41
1595899921,15,0
1595900521,16,17
1595901721,10,36
1595902921,13,16
1595904121,6,10
1595905321,10,86
1595906521,29,0
1595907722,15,23
1595908922,25,34
1595910121,16,0
1595911321,20,6
1595912521,25,51
1595913721,17,20
1595914921,30,0
1595916121,26,28
1595917322,20,8
1595918521,13,11
1595919721,26,9
1595920921,19,42
1595922121,15,0
1595923322,17,42
1595924521,16,7
1595925121,17,5
1595925721,19,42
1595926921,17,0
1595927521,16,14
1595928121,48,0
1595928722,21,34
1595929321,29,31
1595930521,16,7
1595931122,10,9
1595931722,16,32
1595932321,12,17
1595932921,27,5
1595934121,24,19
1595934721,20,18
1595935921,29,62
1595936521,14,0
1595937721,22,11
1595938921,16,16
1595939521,14,45
1595940721,14,13
1595941322,13,7
1595941921,13,0
1595942521,15,34
1595943721,10,22
1595944322,12,17
1595944921,30,0
1595945522,33,23
1595946122,9,0
1595946721,8,19
1595947921,13,46
1595948521,8,7
1595949122,6,48
1595950322,24,15
1595950922,23,0
1595951521,18,17
1595952122,7,28
1595952721,35,0
1595953321,15,37
1595954521,30,18
1595955122,11,0
1595955721,10,10
1595956922,16,33
1595958121,22,13
1595959321,48,20
1595959921,21,36
1595961121,28,12
1595961722,12,8
1595962321,6,7
1595962921,12,9
1595964121,27,36
1595964721,12,0
1595965321,20,20
1595965921,24,18
1595967122,17,42
1595967721,13,0
1595968922,26,43
1595970122,26,11
1595970721,27,18
1595971321,30,21
1595971922,14,8
1595972522,20,12
1595973722,21,0
1595974921,14,31
1595976122,16,0
1595977322,16,15
1595977921,15,0
1595978521,16,0
1595979722,16,22
1595980322,24,13
1595980922,18,0
1595982122,11,37
1595982721,14,0
1595983322,20,6
1595984521,22,37
1595985721,16,18
1595986321,17,51
1595987521,10,0
1595988121,8,12
1595989321,20,12
1595989922,12,0
1595990522,16,0
1595991721,20,19
1595992921,18,15
1595994121,21,46
1595995321,13,0
1595996521,13,45
1595997121,4,0
1595997721,16,19
1595998322,21,0
1595998921,12,20
1596000121,14,18
1596001321,13,33
1596002521,20,7
1596003121,9,20
1596003721,7,0
1596004321,18,16
1596005521,22,0
1596006122,27,0
1596007321,40,37
1596008522,23,0
1596009721,13,25
1596010922,32,6
1596012121,12,62
1596013321,21,34
1596013921,35,0
1596014522,24,53
1596015121,26,0
1596015721,7,14
1596016921,16,0
1596017521,9,9
1596018121,17,6
1596018721,22,9
1596019321,37,19
1596019922,24,16
1596021121,19,36
1596021721,12,0
1596022321,14,0
1596022921,19,36
1596024121,14,74
1596025321,32,8
1596025921,18,0
1596027122,11,7
1596027721,7,7
1596028321,9,18
1596028922,19,0
1596030121,8,36
1596030722,26,0
1596031321,16,28
1596032521,10,55
1596033122,8,22
1596034322,22,10
1596034922,5,1
1596035522,19,7
1596036722,19,15
1596037321,17,53
1596039121,21,80
1596039721,12,0
1596040321,24,15
1596041521,16,14
1596042122,13,35
1596042721,18,0
1596043321,18,0
1596044521,23,25
1596045121,16,0
1596045721,29,0
1596046922,17,32
1596047521,12,18
1596048721,13,47
1596049321,23,0
1596049921,18,19
1596051121,15,45
1596051721,21,17
1596052922,24,19
1596054121,17,17
1596055321,16,55
1596055921,5,0
1596056522,19,0
1596057121,11,47
1596057721,18,0
1596058321,20,23
1596059521,36,31
1596060121,22,26
1596061322,5,0
1596061921,5,44
1596063122,13,0
1596063721,24,0
1596064921,16,46
1596066121,45,20
1596067322,17,12
1596068522,12,0
1596069721,34,41
1596070921,22,19
1596072121,14,19
1596072721,42,0
1596073322,15,0
1596074521,27,20
1596075121,14,24
1596075721,13,0
1596076321,14,32
1596077521,20,0
1596078121,21,25
1596078722,22,0
1596079322,24,15
1596079921,10,0
1596080521,20,0
1596081721,13,16
1596082921,12,4
