DateTime,AddedIPs,RemovedIPs
1595636522,2,9
1595637122,0,5
1595638321,0,1
1595639521,1,1
1595640122,1,0
1595640721,0,3
1595641321,2,7
1595642522,3,7
1595643721,2,0
1595644321,1,5
1595644921,0,4
1595646121,1,7
1595646721,1,0
1595647321,0,1
1595648521,1,0
1595649721,2,3
1595650322,2,1
1595651521,0,3
1595652721,1,3
1595653921,1,1
1595654521,0,12
1595655721,1,0
1595656321,0,16
1595656921,2,0
1595658121,0,7
1595658721,1,10
1595659921,1,11
1595660522,0,5
1595661721,0,57
1595662921,0,6
1595663521,1,8
1595664121,0,3
1595665921,1,7
1595667121,0,8
1595668322,0,4
1595668921,1,11
1595669522,3,0
1595670121,0,9
1595671321,0,8
1595672521,1,36
1595673722,0,36
1595674922,3,5
1595676121,2,15
1595676721,1,0
1595677321,5,0
1595679121,3,0
1595680321,1,1
1595680921,0,1
1595681522,1,1
1595682721,0,1
1595683922,1,0
1595684521,15,0
1595685121,1,2
1595686921,2,0
1595688121,1,4
1595689321,4,3
1595689921,0,1
1595691721,2,3
1595692921,3,0
1595693521,1,1
1595694721,1,5
1595695921,1,0
1595696521,0,2
1595697721,2,5
1595698921,1,4
1595700121,2,0
1595700721,1,0
1595701921,1,0
1595702521,0,3
1595703121,1,0
1595704321,1,0
1595704921,0,2
1595706121,2,0
1595707321,2,6
1595708521,4,0
1595709121,0,4
1595710322,4,1
1595711521,3,3
1595712121,0,3
1595712721,0,4
1595713321,1,0
1595715121,2,4
1595715721,2,0
1595716922,1,1
1595718121,0,3
1595719321,1,0
1595720521,0,3
1595721722,0,5
1595722921,1,0
1595723522,0,2
1595724121,0,1
1595724722,0,1
1595725921,0,2
1595728321,1,0
1595728922,0,4
1595730121,2,1
1595731321,0,1
1595731922,1,0
1595734921,2,3
1595737321,2,3
1595738521,1,0
1595739721,0,3
1595740921,4,0
1595741521,0,2
1595742121,1,0
1595746321,0,5
1595747521,1,2
1595749321,3,0
1595751121,3,3
1595751722,1,0
1595752921,3,2
1595753521,1,0
1595754121,0,2
1595755922,2,1
1595758321,0,5
1595758921,2,0
1595760121,1,0
1595761321,1,2
1595761921,0,1
1595763121,0,1
1595763721,1,0
1595764921,1,1
1595767921,2,2
1595769121,3,1
1595771522,1,0
1595773922,1,1
1595775122,0,1
1595775721,1,0
1595776321,1,0
1595776921,0,3
1595778122,1,0
1595779921,1,2
1595781721,2,0
1595782921,0,3
1595783521,1,0
1595784121,0,3
1595785921,0,7
1595787121,0,3
1595788921,0,5
1595789521,0,1
1595791322,4,0
1595793121,3,1
1595794321,4,1
1595794922,1,0
1595796121,30,2
1595796721,0,3
1595797921,3,4
1595798521,1,0
1595799721,0,6
1595800321,0,6
1595801521,0,8
1595803321,2,0
1595803921,0,3
1595805121,1,4
1595806321,1,3
1595807521,3,1
1595808122,2,0
1595809321,0,9
1595810521,1,0
1595811121,0,9
1595812321,4,0
1595812922,1,0
1595813521,2,4
1595814121,0,6
1595815321,2,0
1595815921,1,1
1595817722,1,3
1595818322,0,2
1595818921,1,1
1595820122,2,3
1595821321,0,1
1595822521,0,5
1595824321,0,2
1595825521,0,1
1595828522,0,2
1595829121,1,3
1595830321,1,2
1595830922,0,2
1595832121,2,0
1595834522,0,6
1595835121,0,3
1595836921,0,1
1595839921,2,0
1595841121,0,3
1595842321,1,0
1595844121,0,2
1595845321,0,2
1595846521,0,1
1595847722,0,4
1595848321,2,0
1595849521,1,1
1595850721,1,0
1595851921,1,2
1595853121,3,0
1595854321,1,0
1595855522,1,2
1595856721,1,1
1595857921,0,4
1595859121,1,2
1595860321,4,0
1595862121,3,1
1595862721,2,3
1595863921,8,2
1595865121,1,5
1595865721,1,0
1595866321,3,4
1595866921,4,0
1595868721,4,0
1595869921,5,1
1595871721,2,0
1595872321,2,1
1595872921,1,3
1595874721,0,3
1595875321,0,2
1595876521,13,0
1595877121,0,1
1595878321,2,1
1595878922,2,3
1595879522,3,0
1595880122,1,0
1595881322,5,0
1595881921,0,2
1595882521,1,0
1595883721,4,6
1595884921,1,0
1595885521,1,3
1595886122,1,7
1595886722,1,5
1595888522,2,2
1595889721,1,2
1595890921,3,4
1595892121,1,15
1595893322,0,7
1595895121,2,33
1595895721,1,0
1595896321,2,11
1595898121,2,2
1595899321,3,5
1595900521,1,0
1595901721,1,2
1595902322,0,1
1595903522,0,1
1595905921,1,3
1595906521,1,0
1595908922,1,8
1595910121,1,1
1595910721,2,0
1595911921,1,1
1595912521,1,0
1595913721,2,8
1595916121,1,3
1595918521,6,1
1595920322,2,2
1595921521,0,1
1595923322,2,0
1595925121,2,1
1595926322,0,1
1595928121,2,0
1595929321,0,1
1595929922,1,0
1595931121,1,5
1595932921,1,2
1595934121,0,1
1595935322,2,0
1595936521,0,2
1595938921,2,4
1595940121,1,1
1595941321,6,0
1595941921,0,1
1595942521,1,0
1595943121,2,0
1595944322,0,2
1595945522,1,3
1595946721,2,0
1595947321,1,0
1595948521,0,1
1595949721,2,0
1595950322,0,1
1595950921,2,0
1595952122,2,9
1595953321,1,4
1595954521,0,4
1595955122,2,0
1595955721,1,3
1595956321,1,0
1595957522,3,6
1595959321,0,1
1595960522,1,3
1595961722,2,2
1595962321,1,2
1595963521,0,2
1595964121,1,0
1595964721,1,4
1595965321,1,2
1595966521,5,0
1595967721,5,10
1595968921,1,2
1595970122,0,5
1595971921,6,10
