DateTime,AddedIPs,RemovedIPs
1595744521,47,47
1595745721,28,28
1595746321,30,30
1595747521,27,27
1595748721,22,22
1595749321,23,23
1595751121,65,65
1595751722,22,22
1595752921,73,73
1595753521,34,34
1595754121,54,54
1595755922,84,84
1595756522,44,44
1595757121,13,13
1595757721,31,31
1595758321,13,13
1595758921,40,40
1595759521,42,42
1595760121,35,35
1595761321,54,54
1595761921,13,13
1595762522,24,24
1595763121,11,11
1595763721,35,35
1595764921,45,45
1595765521,21,21
1595766121,8,8
1595766721,30,30
1595767921,65,65
1595769121,66,66
1595769722,12,12
1595770321,23,23
1595770921,29,29
1595771522,39,39
1595772121,10,10
1595772721,36,36
1595773322,18,18
1595773922,12,12
1595775122,45,45
1595775721,11,11
1595776321,29,29
1595776921,25,25
1595778122,20,20
1595778721,15,15
1595779921,23,23
1595780521,18,18
1595781721,28,28
1595782321,19,19
1595782921,9,9
1595783521,24,24
1595784121,13,13
1595784721,9,9
1595785921,26,26
1595787121,26,26
1595787721,18,18
1595788921,39,39
1595789521,21,21
1595791322,73,73
1595791921,10,10
1595792521,16,16
1595793121,40,40
1595794321,60,60
1595794922,25,25
1595796121,87,87
1595796721,57,57
1595797921,74,74
1595798521,43,43
1595799721,70,70
1595800321,13,13
1595800921,68,68
1595801521,20,20
1595802121,17,17
1595802721,10,10
1595803321,46,46
1595803921,36,36
1595805121,63,63
1595806321,35,35
1595807521,76,76
1595808122,49,49
1595809321,34,34
1595810521,42,42
1595811121,33,33
1595812321,76,76
1595812922,37,37
1595813521,40,40
1595814121,21,21
1595815321,32,32
1595815921,30,30
1595816522,13,13
1595817722,53,53
1595818322,31,31
1595818921,33,33
1595820122,75,75
1595820721,27,27
1595821321,36,36
1595822521,65,65
1595823121,17,17
1595824321,38,38
1595824921,20,20
1595825521,12,12
1595827321,61,61
1595828522,30,30
1595829121,42,42
1595830321,36,36
1595830922,17,17
1595832121,29,29
1595833321,55,55
1595834522,23,23
1595835121,23,23
1595836321,35,35
1595836921,19,19
1595838121,57,57
1595839321,27,27
1595839921,43,43
1595840521,11,11
1595841121,30,30
1595841722,23,23
1595842321,52,52
1595842921,29,29
1595844121,34,34
1595845321,41,41
1595845921,16,16
1595846521,30,30
1595847722,44,44
1595848321,21,21
1595849521,25,25
1595850721,33,33
1595851321,10,10
1595851921,23,23
1595853121,25,25
1595853721,5,5
1595854321,15,15
1595855522,32,32
1595856721,33,33
1595857921,30,30
1595858521,7,7
1595859121,23,23
1595860321,33,33
1595860921,11,11
1595862121,36,36
1595862721,37,37
1595863921,52,52
1595865121,68,68
1595865721,14,14
1595866321,27,27
1595866921,46,46
1595868721,62,62
1595869921,44,44
1595870521,11,11
1595871721,78,78
1595872321,21,21
1595872921,22,22
1595874121,35,35
1595874721,6,6
1595875321,11,11
1595876521,65,65
1595877121,8,8
1595878321,25,25
1595878922,44,44
1595879522,51,51
1595880122,17,17
1595881322,78,78
1595881921,16,16
1595882521,21,21
1595883721,90,90
1595884921,81,81
1595885521,26,26
1595886122,59,59
1595886722,40,40
1595888522,86,86
1595889721,86,86
1595890921,95,95
1595892121,73,73
1595893322,40,40
1595893921,29,29
1595895121,92,92
1595895721,37,37
1595896321,64,64
1595896921,34,34
1595898121,66,66
1595899321,53,53
1595900521,61,61
1595901721,74,74
1595902322,12,12
1595903522,37,37
1595904121,19,19
1595905921,52,52
1595906521,28,28
1595907721,30,30
1595908922,41,41
1595910121,43,43
1595910721,31,31
1595911921,25,25
