DateTime,AddedIPs,RemovedIPs
1593943202,88,0
1593946802,83,0
1593950403,96,0
1593954002,104,0
1593957602,106,0
1593961202,104,0
1593964802,105,0
1593968402,76,0
1593975602,171,0
1593982802,153,0
1593986402,91,0
1593990002,156,0
1593997202,165,2619
1594000802,116,0
1594005302,130,0
1594008902,133,0
1594016101,195,0
1594023302,271,0
1594026902,153,0
1594030502,128,0
1594034102,103,0
1594041301,260,0
1594044902,137,0
1594052101,316,0
1594056602,261,0
1594060203,101,0
1594067403,251,0
1594071001,106,0
1594075502,124,0
1594079102,98,0
1594082702,59,2417
1594089901,212,0
1594093502,106,0
1594097101,91,0
1594100702,99,0
1594104302,156,0
1594107902,129,1
1594115101,241,0
1594118702,116,0
1594125901,252,0
1594129502,120,0
1594137602,244,0
1594141202,99,0
1594144803,90,0
1594148402,112,0
1594155602,184,0
1594159202,77,0
1594162802,98,0
1594166403,86,3024
1594173602,179,0
1594180803,163,0
1594184402,98,0
1594188001,125,0
1594191602,106,0
1594198802,390,0
1594203302,178,0
1594206902,118,0
1594210501,141,0
1594217702,272,0
1594224901,185,0
1594228502,97,0
1594232102,103,0
1594235702,107,0
1594239301,138,0
1594242902,136,0
1594246502,101,0
1594251002,137,0
1594254601,92,2536
1594258202,123,0
1594261802,165,0
1594265402,167,0
1594269002,115,0
1594272602,142,0
1594276202,131,0
1594279801,142,0
1594283402,136,0
1594287001,118,0
1594290601,130,0
1594294202,148,0
1594297801,120,0
1594301402,147,0
1594305001,98,0
1594308602,151,0
1594313102,140,0
1594316702,109,0
1594320302,93,0
1594323902,92,0
1594331102,196,0
1594334702,94,0
1594338302,89,0
1594341901,88,2836
1594345502,135,1
1594349102,120,0
1594356302,246,0
1594359902,107,0
1594368001,237,0
1594371602,121,0
1594375202,110,0
1594378802,137,0
1594382403,124,0
1594386002,120,0
1594389602,126,0
1594393202,109,1
1594396802,111,0
1594400402,68,0
1594404002,94,0
1594407602,91,0
1594411201,107,0
1594414803,95,0
1594418402,117,0
1594425602,165,2955
1594429202,77,0
1594432802,98,0
1594436402,92,0
1594443603,232,0
1594450802,233,0
1594455302,161,0
1594462502,267,0
1594469702,233,0
1594473301,105,0
1594476902,109,0
1594480502,108,0
1594487702,197,0
1594492202,103,0
1594495802,109,0
1594499402,100,0
1594503002,65,0
1594510203,142,0
1594513802,83,2572
1594517402,115,0
1594521001,124,0
1594524602,95,0
1594528202,116,0
1594531802,90,0
1594535401,108,0
1594542601,200,0
1594546202,80,0
1594553402,206,0
1594557902,138,0
1594561502,95,0
1594565102,99,0
1594572301,194,0
1594575902,87,0
1594583102,177,0
1594586702,76,0
1594594802,163,0
1594598402,78,2392
1594602002,112,0
1594605602,119,0
1594609202,132,0
1594612802,105,0
1594616402,115,0
1594623602,206,0
1594630802,276,0
1594634402,180,0
1594638002,108,0
