DateTime,AddedIPs,RemovedIPs
1594380781,7,2
1594384382,1,6
1594387981,2,0
1594391581,4,5
1594395181,4,2
1594398781,7,3
1594402381,3,3
1594405982,3,0
1594409582,4,10
1594413181,1,0
1594416782,4,12
1594420382,3,0
1594423982,2,3
1594427581,2,2
1594431182,4,2
1594434781,2,0
1594438381,2,8
1594441981,7,0
1594445581,4,8
1594449181,5,0
1594452782,4,6
1594456382,5,5
1594459981,4,7
1594463581,2,4
1594467181,6,2
1594470782,4,3
1594474382,4,5
1594477981,6,0
1594481581,3,9
1594485181,5,4
1594488781,8,0
1594492382,3,4
1594495981,1,3
1594499581,3,3
1594503181,3,2
1594506782,3,5
1594510381,3,4
1594513981,3,2
1594517581,3,1
1594521181,6,4
1594524781,5,3
1594528381,2,8
1594531982,1,6
1594535581,3,4
1594539182,3,3
1594542781,3,0
1594546382,7,9
1594549982,5,0
1594553581,7,1
1594557181,5,8
1594560781,4,0
1594564381,4,13
1594567981,6,5
1594571581,7,0
1594575182,4,11
1594578781,4,0
1594582381,4,4
1594585982,2,4
1594589581,2,0
1594593181,3,6
1594596781,1,2
1594600381,4,2
1594603981,3,0
1594607582,2,10
1594611182,2,3
1594614781,3,0
1594618381,0,2
1594621981,3,7
1594625582,4,0
1594629181,3,9
1594632781,9,0
1594636381,1,9
1594639981,4,0
1594643581,5,9
1594647182,2,0
1594650781,8,7
1594654381,6,5
1594657981,8,3
1594661581,2,2
1594665181,7,5
1594668781,5,8
1594672382,2,2
1594675982,3,2
1594679581,4,0
1594683181,6,2
1594686781,5,2
1594690381,2,5
1594693981,4,0
1594697581,5,8
1594701181,1,3
1594704781,3,2
1594708381,6,4
1594712430,6,4
1594716030,8,7
1594719630,3,1
1594722782,6,1
1594726381,0,3
1594729981,3,0
1594733581,2,8
1594737181,4,2
1594740781,7,4
1594744382,4,5
1594747981,6,0
1594751581,3,7
1594755181,4,8
1594758781,1,4
1594762381,3,7
1594765981,4,0
1594769581,3,13
1594773181,4,1
1594776782,1,0
1594780381,4,5
1594783981,4,7
1594787581,4,0
1594791181,4,2
1594794782,3,2
1594798381,1,4
1594801982,4,6
1594805582,3,3
1594809181,0,3
1594812782,3,7
1594816381,3,0
1594819982,4,6
1594823582,7,6
1594827182,6,3
1594830782,13,8
1594834382,4,2
1594837981,3,4
1594841581,4,4
1594845182,6,6
1594848781,6,0
1594852381,3,3
1594855981,5,6
1594863182,0,5
1594866782,1,4
1594870382,3,0
1594873981,3,6
1594877581,3,0
1594881182,4,2
1594884781,6,2
1594888382,1,8
1594891982,7,4
1594895582,3,0
1594899182,4,3
1594902781,2,5
1594906382,6,0
1594909982,7,15
1594913581,6,6
1594917181,7,0
1594920782,2,21
1594924382,5,1
1594927982,4,5
1594931582,5,6
1594935182,6,4
1594938781,3,5
1594942381,3,0
1594945981,6,0
1594949582,3,0
