DateTime,AddedIPs,RemovedIPs
1594391581,16,14
1594395181,11,13
1594398781,14,11
1594402381,14,14
1594405982,13,13
1594409582,13,12
1594413181,11,13
1594416782,15,12
1594420382,14,17
1594423982,14,14
1594427581,11,10
1594431182,12,12
1594434781,16,15
1594438381,13,15
1594441981,18,18
1594445581,10,11
1594449181,15,15
1594452782,15,16
1594456382,20,19
1594459981,16,17
1594463581,11,10
1594467181,16,14
1594470782,13,14
1594474382,13,13
1594477981,14,16
1594481581,15,13
1594485181,18,17
1594488781,18,21
1594492382,11,11
1594495981,16,16
1594499581,11,8
1594503181,14,15
1594506782,12,15
1594510381,13,14
1594513981,14,11
1594517581,15,16
1594521181,17,15
1594524781,16,15
1594528381,14,16
1594531982,13,12
1594535581,21,19
1594539182,13,15
1594542781,18,19
1594546382,21,21
1594549982,16,19
1594553581,21,18
1594557181,12,12
1594560781,17,17
1594564381,14,15
1594567981,15,17
1594571581,18,15
1594575182,16,17
1594578781,16,11
1594582381,21,22
1594585982,15,18
1594589581,12,13
1594593181,19,16
1594596781,14,14
1594600381,14,16
1594603981,11,10
1594607582,11,11
1594611182,11,14
1594614781,19,13
1594618381,7,12
1594621981,14,14
1594625582,18,15
1594629181,17,15
1594632781,19,20
1594636381,12,12
1594639981,18,17
1594643581,16,19
1594647182,10,8
1594650781,21,19
1594654381,17,18
1594657981,18,20
1594661581,11,12
1594665181,12,13
1594668781,27,24
1594672382,16,16
1594675982,18,14
1594679581,16,19
1594683181,17,18
1594686781,18,20
1594690381,18,15
1594693981,21,22
1594697581,19,17
1594701181,15,16
1594704781,14,16
1594708381,17,14
1594712430,20,20
1594716030,20,22
1594719630,14,11
1594722782,15,17
1594726381,17,18
1594729981,14,14
1594733581,15,16
1594737181,16,16
1594740781,18,18
1594744382,16,16
1594747981,20,19
1594751581,18,18
1594755181,13,15
1594758781,12,13
1594762381,18,16
1594765981,17,17
1594769581,19,18
1594773181,12,13
1594776782,12,13
1594780381,13,13
1594783981,10,12
1594787581,16,13
1594791181,20,18
1594794782,18,15
1594798381,10,15
1594801982,18,17
1594805582,17,18
1594809181,15,13
1594812782,16,18
1594816381,15,14
1594819982,18,15
1594823582,20,23
1594827182,22,23
1594830782,24,20
1594834382,13,12
1594837981,21,25
1594841581,10,10
1594845182,12,14
1594848781,19,17
1594852381,13,15
1594855981,19,14
1594859581,6,10
1594863182,9,9
1594866782,15,17
1594870382,17,14
1594873981,17,16
1594877581,13,12
1594881182,16,19
1594884781,12,12
1594888382,17,17
1594891982,15,16
1594895582,12,17
1594899182,16,11
1594902781,12,14
1594906382,18,18
1594909982,17,15
1594913581,20,19
1594917181,12,12
1594920782,15,14
1594924382,14,14
1594927982,17,15
1594931582,14,15
1594935182,21,21
1594938781,18,16
1594942381,15,17
1594945981,15,14
1594949582,11,10
1594953181,15,17
1594956781,12,13
1594960382,14,15
1594963982,15,13
1594967581,6,6
1594971181,14,15
1594974781,15,16
1594978381,21,21
1594981981,17,17
1594985581,17,15
1594989181,12,12
1594992781,11,11
1594996381,18,19
1594999982,20,20
1595003582,16,15
1595007181,20,22
1595010781,17,19
1595014381,18,16
1595017981,20,18
1595021581,10,9
1595025182,16,18
1595028782,15,14
1595032381,16,15
1595035981,16,17
1595039581,20,20
1595043181,11,12
1595046781,15,17
1595050381,17,17
1595053982,17,18
1595057581,20,19
1595061182,17,18
1595064782,15,17
1595068381,19,17
1595071981,18,17
1595075581,20,18
1595079181,15,18
1595082781,16,16
1595086381,17,14
1595089981,17,19
1595093582,9,8
1595097181,15,16
1595100782,15,17
1595104381,23,21
1595107981,12,12
1595111582,16,15
1595115181,13,11
1595118781,11,10
1595122381,18,17
1595125982,11,14
1595129581,13,15
1595133181,17,15
1595136781,18,17
1595140381,17,18
1595143982,20,18
1595147582,15,19
1595151182,17,20
1595154781,20,17
1595158382,12,14
1595161982,18,17
1595165581,15,17
1595169182,21,19
1595172781,11,13
1595176381,12,9
1595179982,12,10
1595183582,17,15
1595187181,12,13
1595190781,11,10
1595194381,9,10
1595197982,5,5
1595201582,11,12
1595205181,12,11
1595208781,15,16
1595212382,17,16
1595215981,18,18
1595219581,21,21
1595223181,17,20
1595226781,14,13
1595230381,16,18
1595233982,20,19
1595237581,20,17
1595241181,17,21
1595244782,22,18
1595248381,18,19
1595251982,18,18
1595255582,16,19
1595259181,19,15
1595262781,24,24
1595266381,18,20
1595269981,13,13
1595273581,22,19
1595277181,19,20
1595280781,7,7
1595284382,13,15
1595287981,12,12
1595291581,11,11
1595295181,15,14
1595298781,10,11
1595302381,14,14
1595305981,15,18
1595309581,14,12
1595313182,13,12
1595316781,16,18
1595320381,19,19
1595323982,19,19
1595327581,20,20
1595331182,21,22
1595334782,24,23
1595338381,16,16
1595341982,12,10
1595345581,16,16
1595349182,17,15
1595352781,20,23
1595356382,21,18
1595359981,17,16
1595363581,14,15
1595367181,17,18
1595370782,21,20
1595374382,14,14
1595377981,5,5
1595381581,6,8
1595385181,7,8
1595388781,15,18
